n,method_name,n_runs,avg_relative_objective_index,avg_improvement_pct,avg_objective,avg_cpu_s,method_label
15,feasibility_aware_alns,8,29.61645813990588,70.38354186009413,1669.3632574795795,5.9803444147109985,M8 Feasibility-aware ALNS
15,nils,8,15.74257083560551,84.2574291643945,87.85515388261081,0.3924463987350464,M5 NILS
15,truck_only,8,100.0,,9655.148034544405,0.012639343738555908,M1 Truck-only
50,feasibility_aware_alns,7,25.596337526723314,74.40366247327668,44657.6246383911,10.833952801568168,M8 Feasibility-aware ALNS
50,nils,7,13.014274312831413,86.9857256871686,20737.29267153655,3.8659325667790005,M5 NILS
50,truck_only,7,100.0,,175968.99640054422,0.04119941166469029,M1 Truck-only
75,feasibility_aware_alns,3,31.358623416562335,68.64137658343766,25827.441759837715,10.71076234181722,M8 Feasibility-aware ALNS
75,nils,3,15.340611080668166,84.65938891933183,13380.304029169127,10.834440072377523,M5 NILS
75,truck_only,3,100.0,,87058.7919369834,0.09151268005371094,M1 Truck-only
100,feasibility_aware_alns,6,,,151857.68130847506,11.704980055491129,M8 Feasibility-aware ALNS
100,nils,6,,,124200.55789367501,49.68609937032064,M5 NILS
