instance_id,random_seed,method_name,scenario_id,scenario_class,n,eligible_share,eligible_share_target,number_of_drones,number_of_trucks,endurance_level,speed_ratio,spatial_pattern,launch_retrieval_time_class,priority_weight_profile,battery_slack_ratio,priority_weight_high,priority_weight_medium,priority_weight_low,depot_position,objective_total,truck_travel_cost,drone_travel_cost,waiting_sync_cost,penalty_cost,priority_tardiness_cost,high_priority_tardiness_minutes,medium_priority_tardiness_minutes,low_priority_tardiness_minutes,total_priority_tardiness_minutes,high_priority_tardiness_weighted_cost,medium_priority_tardiness_weighted_cost,low_priority_tardiness_weighted_cost,fixed_deployment_cost,makespan_minutes,truck_route_distance_km,drone_flight_distance_km,customers_served_by_truck,customers_served_by_drone,drone_service_share,number_of_drone_launches,number_of_drone_retrievals,average_customers_per_drone_sortie,average_customers_per_drone_route,total_truck_waiting_time,total_drone_waiting_time,average_synchronization_delay,maximum_synchronization_delay,delayed_rendezvous_events,average_battery_usage_ratio,maximum_battery_usage_ratio,sorties_near_endurance_limit,infeasible_battery_attempts_rejected,eligible_not_assigned_due_battery,cpu_time_seconds,iterations,improving_moves_accepted,candidate_reassignments_evaluated,final_solution_feasibility_flag,status,run_label
S0001_R01,102027,feasibility_aware_alns,S0001,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.10,15,0.2666666666666666,0.25,1,3,low,1.25,clustered,short,moderate,0.1,20.0,5.0,1.0,peripheral,46.70221299137072,46.70221299137072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.81099735902328,58.377766239213386,0.0,15,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,6.008115768432617,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0001_R02,102028,feasibility_aware_alns,S0001,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.10,15,0.2666666666666666,0.25,1,3,low,1.25,clustered,short,moderate,0.1,20.0,5.0,1.0,peripheral,54.8605950804564,45.55841005586407,9.302185024592337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.45958432414582,56.94801256983009,31.007283415307786,13,2,0.1333333333333333,1,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0.8942434422434745,0.8942434422434745,0,0,0,8.128567218780518,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0001_R03,102029,feasibility_aware_alns,S0001,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.10,15,0.2666666666666666,0.25,1,3,low,1.25,clustered,short,moderate,0.1,20.0,5.0,1.0,peripheral,138.51189987410237,41.092905492951466,8.794263687663957,0.0,88.62473069348695,88.62473069348695,4.431236534674348,0.0,0.0,4.431236534674348,88.62473069348695,0.0,0.0,0.0,95.75291946807856,51.366131866189335,29.314212292213192,11,4,0.2666666666666666,1,1,4.0,4.0,0.0,0.0,0.0,0.0,0,0.855698225726182,0.855698225726182,0,0,0,7.666522979736328,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0001_R04,102030,feasibility_aware_alns,S0001,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.10,15,0.2666666666666666,0.25,1,3,low,1.25,clustered,short,moderate,0.1,20.0,5.0,1.0,peripheral,47.93389622101652,47.93389622101652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.73324165320886,59.91737027627065,0.0,15,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,7.172651529312134,40.0,1.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0001_R05,102031,feasibility_aware_alns,S0001,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.10,15,0.2666666666666666,0.25,1,3,low,1.25,clustered,short,moderate,0.1,20.0,5.0,1.0,peripheral,768.0699736451174,49.38268988545681,8.930995822371592,0.0,709.756287937289,709.756287937289,35.48781439686445,0.0,0.0,35.48781439686445,709.756287937289,0.0,0.0,0.0,119.2477061979434,61.72836235682102,29.76998607457198,13,2,0.1333333333333333,1,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0.8613318085770622,0.8613318085770622,0,0,0,6.959628820419312,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0001_R06,102032,feasibility_aware_alns,S0001,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.10,15,0.2666666666666666,0.25,1,3,low,1.25,clustered,short,moderate,0.1,20.0,5.0,1.0,peripheral,52.58128662325035,43.3738977224213,9.207388900829043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.98154441122358,54.21737215302664,30.69129633609681,12,3,0.2,1,1,3.0,3.0,0.0,0.0,0.0,0.0,0,0.896332040286006,0.896332040286006,0,0,0,6.141798257827759,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0001_R07,102033,feasibility_aware_alns,S0001,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.10,15,0.2666666666666666,0.25,1,3,low,1.25,clustered,short,moderate,0.1,20.0,5.0,1.0,peripheral,58.239930528297066,49.10465660510902,9.135273923188045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.37658822939014,61.38082075638628,30.45091307729349,12,3,0.2,1,1,3.0,3.0,0.0,0.0,0.0,0.0,0,0.879809366657788,0.879809366657788,0,0,0,6.508563041687012,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0001_R08,102034,feasibility_aware_alns,S0001,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.10,15,0.2666666666666666,0.25,1,3,low,1.25,clustered,short,moderate,0.1,20.0,5.0,1.0,peripheral,364.6330978494311,49.60096015039467,8.020546019596463,0.0,307.01159167944,307.01159167944,15.350579583972,0.0,0.0,15.350579583972,307.01159167944,0.0,0.0,0.0,118.5273564184215,62.00120018799334,26.73515339865488,14,1,0.0666666666666666,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0.7638615256758536,0.7638615256758536,0,0,0,6.105522871017456,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0001_R09,102035,feasibility_aware_alns,S0001,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.10,15,0.2666666666666666,0.25,1,3,low,1.25,clustered,short,moderate,0.1,20.0,5.0,1.0,peripheral,527.0432090560558,49.51564068292242,0.0,0.0,477.5275683731334,477.5275683731334,23.87637841865667,0.0,0.0,23.87637841865667,477.5275683731334,0.0,0.0,0.0,119.90684376451836,61.894550853653016,0.0,15,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,7.476306915283203,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0001_R10,102036,feasibility_aware_alns,S0001,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.10,15,0.2666666666666666,0.25,1,3,low,1.25,clustered,short,moderate,0.1,20.0,5.0,1.0,peripheral,263.09679786311284,47.42063796148293,9.143855993795972,0.0,206.53230390783392,206.53230390783392,10.326615195391696,0.0,0.0,10.326615195391696,206.53230390783392,0.0,0.0,0.0,113.38912405299388,59.27579745185366,30.47951997931991,13,2,0.1333333333333333,1,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0.8933632004800406,0.8933632004800406,0,0,0,5.213138580322266,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
