scenario_class,n,spatial_pattern,endurance_level,eligible_share_target,number_of_drones,number_of_generated_instances
n15_p0.25_d1_clustered_Ehigh_V1.25_Hmedium_PWbase_B0.05,15,clustered,high,0.25,1,10
n15_p0.25_d1_clustered_Ehigh_V2.00_Hmedium_PWmoderate_B0.05,15,clustered,high,0.25,1,10
n15_p0.25_d1_clustered_Elow_V1.25_Hmedium_PWstrict_B0.05,15,clustered,low,0.25,1,10
n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.05,15,clustered,low,0.25,1,10
n15_p0.25_d1_uniform_Ehigh_V1.25_Hlong_PWbase_B0.05,15,uniform,high,0.25,1,10
n15_p0.25_d1_uniform_Ehigh_V1.25_Hshort_PWflat_B0.05,15,uniform,high,0.25,1,10
n15_p0.25_d1_uniform_Elow_V2.00_Hshort_PWflat_B0.05,15,uniform,low,0.25,1,10
n15_p0.25_d1_uniform_Elow_V2.00_Hshort_PWmoderate_B0.05,15,uniform,low,0.25,1,10
n15_p0.25_d1_uniform_Emedium_V1.25_Hshort_PWbase_B0.05,15,uniform,medium,0.25,1,10
n15_p0.25_d1_uniform_Emedium_V2.00_Hlong_PWflat_B0.05,15,uniform,medium,0.25,1,10
n15_p0.25_d1_uniform_Emedium_V2.00_Hlong_PWstrict_B0.05,15,uniform,medium,0.25,1,10
n15_p0.75_d1_clustered_Elow_V2.00_Hmedium_PWflat_B0.05,15,clustered,low,0.75,1,10
n15_p0.75_d1_clustered_Elow_V2.00_Hmedium_PWmoderate_B0.05,15,clustered,low,0.75,1,10
n15_p0.75_d1_clustered_Emedium_V1.25_Hmedium_PWbase_B0.05,15,clustered,medium,0.75,1,10
n15_p0.75_d1_clustered_Emedium_V1.25_Hshort_PWmoderate_B0.05,15,clustered,medium,0.75,1,10
n15_p0.75_d1_clustered_Emedium_V2.00_Hshort_PWbase_B0.05,15,clustered,medium,0.75,1,10
n15_p0.75_d1_clustered_Emedium_V2.00_Hshort_PWstrict_B0.05,15,clustered,medium,0.75,1,10
n15_p0.75_d1_uniform_Ehigh_V1.25_Hmedium_PWflat_B0.05,15,uniform,high,0.75,1,10
n15_p0.75_d1_uniform_Ehigh_V1.25_Hmedium_PWmoderate_B0.05,15,uniform,high,0.75,1,10
n15_p0.75_d1_uniform_Ehigh_V2.00_Hlong_PWstrict_B0.05,15,uniform,high,0.75,1,10
n15_p0.75_d1_uniform_Ehigh_V2.00_Hshort_PWstrict_B0.05,15,uniform,high,0.75,1,10
n15_p0.75_d1_uniform_Elow_V1.25_Hshort_PWstrict_B0.05,15,uniform,low,0.75,1,10
n15_p0.75_d1_uniform_Emedium_V1.25_Hlong_PWflat_B0.05,15,uniform,medium,0.75,1,10
n50_p0.25_d1_clustered_Ehigh_V2.00_Hshort_PWbase_B0.05,50,clustered,high,0.25,1,10
n50_p0.25_d1_clustered_Ehigh_V2.00_Hshort_PWflat_B0.05,50,clustered,high,0.25,1,10
n50_p0.25_d1_clustered_Elow_V1.25_Hshort_PWflat_B0.05,50,clustered,low,0.25,1,10
n50_p0.25_d1_clustered_Emedium_V1.25_Hmedium_PWstrict_B0.05,50,clustered,medium,0.25,1,10
n50_p0.25_d1_uniform_Ehigh_V1.25_Hlong_PWstrict_B0.05,50,uniform,high,0.25,1,10
n50_p0.25_d1_uniform_Elow_V2.00_Hmedium_PWbase_B0.05,50,uniform,low,0.25,1,10
n50_p0.25_d1_uniform_Emedium_V1.25_Hmedium_PWmoderate_B0.05,50,uniform,medium,0.25,1,10
n50_p0.25_d1_uniform_Emedium_V2.00_Hmedium_PWmoderate_B0.05,50,uniform,medium,0.25,1,10
n50_p0.25_d2_clustered_Elow_V1.25_Hmedium_PWflat_B0.05,50,clustered,low,0.25,2,10
n50_p0.25_d2_clustered_Emedium_V2.00_Hshort_PWstrict_B0.05,50,clustered,medium,0.25,2,10
n50_p0.75_d1_clustered_Ehigh_V2.00_Hshort_PWmoderate_B0.05,50,clustered,high,0.75,1,10
n50_p0.75_d1_clustered_Elow_V1.25_Hmedium_PWflat_B0.05,50,clustered,low,0.75,1,10
n50_p0.75_d1_uniform_Ehigh_V2.00_Hlong_PWflat_B0.05,50,uniform,high,0.75,1,10
n50_p0.75_d1_uniform_Elow_V1.25_Hlong_PWstrict_B0.05,50,uniform,low,0.75,1,10
n50_p0.75_d1_uniform_Elow_V1.25_Hshort_PWstrict_B0.05,50,uniform,low,0.75,1,10
n50_p0.75_d1_uniform_Elow_V2.00_Hlong_PWbase_B0.05,50,uniform,low,0.75,1,10
n50_p0.75_d1_uniform_Emedium_V1.25_Hshort_PWmoderate_B0.05,50,uniform,medium,0.75,1,10
n50_p0.75_d1_uniform_Emedium_V2.00_Hmedium_PWbase_B0.05,50,uniform,medium,0.75,1,10
n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWbase_B0.05,50,clustered,high,0.75,2,10
n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWstrict_B0.05,50,clustered,high,0.75,2,10
n50_p0.75_d2_uniform_Elow_V2.00_Hmedium_PWbase_B0.05,50,uniform,low,0.75,2,10
n75_p0.25_d3_uniform_Ehigh_V2.00_Hmedium_PWflat_B0.05,75,uniform,high,0.25,3,10
n75_p0.25_d3_uniform_Ehigh_V2.00_Hmedium_PWstrict_B0.05,75,uniform,high,0.25,3,10
n75_p0.25_d3_uniform_Elow_V1.25_Hlong_PWmoderate_B0.05,75,uniform,low,0.25,3,10
n75_p0.25_d3_uniform_Elow_V1.25_Hshort_PWbase_B0.05,75,uniform,low,0.25,3,10
n75_p0.25_d3_uniform_Emedium_V1.25_Hlong_PWmoderate_B0.05,75,uniform,medium,0.25,3,10
n75_p0.75_d3_uniform_Ehigh_V2.00_Hshort_PWmoderate_B0.05,75,uniform,high,0.75,3,10
n75_p0.75_d3_uniform_Elow_V1.25_Hlong_PWbase_B0.05,75,uniform,low,0.75,3,10
n75_p0.75_d3_uniform_Emedium_V1.25_Hlong_PWflat_B0.05,75,uniform,medium,0.75,3,10
n75_p0.75_d3_uniform_Emedium_V2.00_Hmedium_PWflat_B0.05,75,uniform,medium,0.75,3,10
n100_p0.25_d3_uniform_Ehigh_V1.25_Hmedium_PWstrict_B0.05,100,uniform,high,0.25,3,10
n100_p0.25_d3_uniform_Ehigh_V1.25_Hshort_PWflat_B0.05,100,uniform,high,0.25,3,10
n100_p0.25_d3_uniform_Ehigh_V2.00_Hlong_PWbase_B0.05,100,uniform,high,0.25,3,10
n100_p0.25_d3_uniform_Elow_V2.00_Hlong_PWmoderate_B0.05,100,uniform,low,0.25,3,10
n100_p0.25_d3_uniform_Elow_V2.00_Hlong_PWstrict_B0.05,100,uniform,low,0.25,3,10
n100_p0.25_d3_uniform_Elow_V2.00_Hmedium_PWbase_B0.05,100,uniform,low,0.25,3,10
n100_p0.25_d3_uniform_Emedium_V1.25_Hlong_PWmoderate_B0.05,100,uniform,medium,0.25,3,10
n100_p0.25_d3_uniform_Emedium_V1.25_Hshort_PWbase_B0.05,100,uniform,medium,0.25,3,10
n100_p0.25_d3_uniform_Emedium_V2.00_Hshort_PWflat_B0.05,100,uniform,medium,0.25,3,10
n100_p0.75_d3_uniform_Ehigh_V1.25_Hlong_PWbase_B0.05,100,uniform,high,0.75,3,10
n100_p0.75_d3_uniform_Ehigh_V1.25_Hmedium_PWmoderate_B0.05,100,uniform,high,0.75,3,10
n100_p0.75_d3_uniform_Ehigh_V2.00_Hshort_PWmoderate_B0.05,100,uniform,high,0.75,3,10
n100_p0.75_d3_uniform_Elow_V1.25_Hmedium_PWbase_B0.05,100,uniform,low,0.75,3,10
n100_p0.75_d3_uniform_Elow_V1.25_Hshort_PWflat_B0.05,100,uniform,low,0.75,3,10
n100_p0.75_d3_uniform_Elow_V2.00_Hlong_PWmoderate_B0.05,100,uniform,low,0.75,3,10
n100_p0.75_d3_uniform_Elow_V2.00_Hshort_PWstrict_B0.05,100,uniform,low,0.75,3,10
n100_p0.75_d3_uniform_Emedium_V1.25_Hmedium_PWstrict_B0.05,100,uniform,medium,0.75,3,10
n100_p0.75_d3_uniform_Emedium_V2.00_Hlong_PWflat_B0.05,100,uniform,medium,0.75,3,10
n100_p0.75_d3_uniform_Emedium_V2.00_Hmedium_PWstrict_B0.05,100,uniform,medium,0.75,3,10
