endurance_level,battery_slack_ratio,n_runs,feasible_rate,avg_objective,avg_battery_usage_ratio,avg_cpu_s
high,0.05,240,0.6958333333333333,6904.835768548218,0.5336614194979002,9.382841580112775
high,0.1,240,0.7,6698.322439049775,0.5134832586063313,9.263320146004359
high,0.15,240,0.6958333333333333,7068.558711371173,0.4965242743280216,8.766707900166512
high,0.2,240,0.7041666666666667,6956.004457327716,0.4694140661372489,8.830863597989083
low,0.05,250,0.672,13324.067846523703,0.5651372871155822,8.968525148391723
low,0.1,250,0.66,14076.171002016514,0.5287874962680363,8.857625158309936
low,0.15,250,0.652,14710.293598731503,0.484439883272806,8.469584534645081
low,0.2,250,0.636,16059.563265117931,0.4107338207483419,8.039195095062256
medium,0.05,230,0.6869565217391305,5003.45141480698,0.5714830259052865,8.858785613723423
medium,0.1,230,0.6782608695652174,5326.469104069834,0.5416842955432166,8.768876737097035
medium,0.15,230,0.6782608695652174,5677.650036604335,0.5223701490326844,8.688326642824256
medium,0.2,230,0.6782608695652174,5349.760823174131,0.4918620016278364,8.248374367796856
