n,method_name,n_runs,feasible_runs,feasibility_rate,avg_cpu_time,objective,reported_runs,improvement_vs_truck_only,reporting_inclusion_rate
15,nils,230,230,1.0,0.2963076125020566,212.97251431657878,230,75.5782517972892,1.0
15,simple_drone,230,230,1.0,0.11991222423055897,6062.885702663101,230,-0.2858773957961385,1.0
15,truck_only,230,230,1.0,0.007919604881950046,6058.67708616782,230,,1.0
50,nils,210,210,1.0,3.7916718131019955,14036.320224018284,210,88.65077069552932,1.0
50,simple_drone,210,200,0.9523809523809523,1.9911151545388357,123326.97145465527,200,-0.05336799361889478,0.9523809523809523
50,truck_only,210,200,0.9523809523809523,0.04726075444902692,123313.17876281848,200,,0.9523809523809523
75,nils,90,90,1.0,10.708729526731704,39808.06473868182,90,84.55208645355557,1.0
75,simple_drone,90,52,0.5777777777777777,3.8837129990259807,115324.24710011744,52,-0.05249246269393378,0.5777777777777777
75,truck_only,90,52,0.5777777777777777,0.139917344517178,115308.14943227725,52,,0.5777777777777777
100,nils,190,190,1.0,35.00649718610864,147412.43811595725,190,83.75591999890767,1.0
100,simple_drone,190,1,0.005263157894736842,4.134254818213614,107038.55891637842,1,0.0,0.005263157894736842
100,truck_only,190,1,0.005263157894736842,0.3544260163056223,107038.55891637842,1,,0.005263157894736842
