launch_retrieval_time_class,method_name,n_runs,waiting_cost,avg_truck_waiting_time,avg_drone_waiting_time,avg_synchronization_delay,avg_improvement,avg_launches,feasibility_rate,avg_total_waiting_time
long,nils,200,0.0,0.0,0.0,0.0,77.10884723506281,2.095,1.0,0.0
long,no_unpairing,200,72.59100092632842,4.881833888807076,67.70916703752135,20.62590576488456,69.49923950702136,2.125,1.0,72.59100092632843
long,paired_baseline,200,132.72602600336907,12.280866216001806,119.62643236233487,36.45804128903019,62.0454064845555,1.805,1.0,131.90729857833668
long,simple_drone,113,0.0,0.0,0.0,0.0,-0.016753735823504184,0.0,1.0,0.0
medium,nils,250,0.0,0.0,0.0,0.0,82.1797236864238,1.76,1.0,0.0
medium,no_unpairing,250,81.48194655185293,5.31904988896836,76.16289666288456,21.965274782768503,74.48353677950277,2.044,1.0,81.48194655185293
medium,paired_baseline,250,127.76254257074162,13.32123059733832,114.18871954437861,36.764550311599415,61.63136709641612,1.8,1.0,127.50995014171693
medium,simple_drone,176,0.0,0.0,0.0,0.0,-0.33884340054170625,0.0,1.0,0.0
short,nils,270,0.0,0.0,0.0,0.0,84.6220894932654,1.6222222222222222,1.0,0.0
short,no_unpairing,270,81.2654757117119,6.892025481801592,74.3734502299103,25.25956678413088,76.3724715854035,1.762962962962963,1.0,81.2654757117119
short,paired_baseline,270,113.86525839258823,11.72681209173154,101.21004491487932,33.47080020499636,72.16183945210872,1.614814814814815,1.0,112.93685700661086
short,simple_drone,194,0.0,0.0,0.0,0.0,-0.09085256275040776,0.0,1.0,0.0
