priority_weight_profile,method_name,n_runs,avg_objective,avg_improvement_vs_truck_only,avg_priority_tardiness_cost,avg_waiting_cost,avg_drone_service_share,feasibility_rate
base,nils,180,71873.26743702861,87.38707076644424,71668.64906007721,0.0,0.18585185185185185,1.0
base,nils_no_local_search,180,87799.72369106278,71.45537847090738,87535.402273596,0.0,0.20524074074074075,1.0
base,nils_no_perturbation,180,87933.04133594649,82.33336747139958,87771.84706085754,0.0,0.1796666666666667,1.0
base,no_unpairing,180,126134.60217291316,83.11268506875159,125875.16661529148,95.35508865981649,0.12503703703703703,1.0
base,paired_baseline,180,103687.99556275255,75.09258923504315,103359.46838721859,138.28463752755417,0.1396851851851852,1.0
base,simple_drone,117,82840.72940709456,-0.24053808344180844,82605.59514599232,0.0,0.0,1.0
base,truck_only,117,82826.58733921338,,82599.10167053973,0.0,0.0,1.0
flat,nils,180,1282.006784983146,69.39459917038478,1086.226174888798,0.0,0.18272222222222223,1.0
flat,nils_no_local_search,180,1717.663086242957,53.395210777654086,1465.3199579481961,0.0,0.18992592592592594,1.0
flat,nils_no_perturbation,180,1548.9489856687105,68.10233042574265,1394.0008747518716,0.0,0.17716666666666667,1.0
flat,no_unpairing,180,2529.6122959774425,53.84733446975814,2288.8116292422364,78.60672463719193,0.0761111111111111,1.0
flat,paired_baseline,180,2415.5135090086437,41.37768537620491,2108.549514838563,131.50353894242306,0.11827777777777777,1.0
flat,simple_drone,130,2325.3660068949703,-0.07807725229565583,2095.0288199709516,0.0,0.0,1.0
flat,truck_only,130,2322.1001422010895,,2094.3562503808926,0.0,0.0,1.0
moderate,nils,180,12917.563843105914,84.39315206531528,12713.886062578627,0.0,0.19012962962962965,1.0
moderate,nils_no_local_search,180,16791.90456199152,67.88997721354146,16531.163073915384,0.0,0.20837037037037037,1.0
moderate,nils_no_perturbation,180,15882.524020652092,79.7631421233392,15719.02282053732,0.0,0.18901851851851853,1.0
moderate,no_unpairing,180,28505.05103016889,77.73894994621496,28276.906752466723,63.233560981396316,0.11101851851851853,1.0
moderate,paired_baseline,180,23706.165736904317,68.46132351582682,23411.63639678656,111.37163867422183,0.12194444444444444,1.0
moderate,simple_drone,115,17754.476232290523,-0.16433079870408238,17518.565710052524,0.0,0.0,1.0
moderate,truck_only,115,17745.043817933034,,17514.005236623296,0.0,0.0,1.0
strict,nils,180,106081.05078960396,87.95718023744564,105884.07845680976,0.0,0.20896296296296293,1.0
strict,nils_no_local_search,180,136316.85673576387,72.80696908624935,136070.1888011567,0.0,0.2299074074074074,1.0
strict,nils_no_perturbation,180,132878.40068576773,80.11737370590409,132725.47544414926,0.0,0.20066666666666666,1.0
strict,no_unpairing,180,223906.48952800888,83.59057146385923,223670.7657271461,78.52887719599043,0.1375185185185185,1.0
strict,paired_baseline,180,187856.22495144085,81.15424918765562,187570.9007794143,114.55941046334561,0.13846296296296295,1.0
strict,simple_drone,121,166341.5679539358,-0.18152039177585996,166126.17739467428,0.0,0.0,1.0
strict,truck_only,121,166330.00029372468,,166122.10046839973,0.0,0.0,1.0
