n,method_name,n_runs,feasible_runs,feasibility_rate,avg_cpu_time,objective,reported_runs,improvement_vs_truck_only,reporting_inclusion_rate
15,nils,230,222,0.9652173913043478,0.20279578540636145,205.89262442222946,222.0,75.22528219393287,0.9652173913043478
15,simple_drone,230,0,0.0,0.02505292166834292,,,,
15,truck_only,230,230,1.0,0.005044802375461744,6058.67708616782,230.0,,1.0
50,nils,210,198,0.9428571428571428,2.7924161967777072,13044.798705074292,198.0,88.38097107735668,0.9428571428571428
50,simple_drone,210,0,0.0,0.4571833008811587,,,,
50,truck_only,210,200,0.9523809523809523,0.02995430514926002,123313.17876281848,200.0,,0.9523809523809523
75,nils,90,65,0.7222222222222222,9.180500343110825,21193.454786022998,65.0,84.55208645355557,0.7222222222222222
75,simple_drone,90,0,0.0,1.3419782691531712,,,,
75,truck_only,90,52,0.5777777777777777,0.07099658648173014,115308.14943227725,52.0,,0.5777777777777777
100,nils,190,4,0.021052631578947368,31.767689678543494,68165.67450251032,4.0,83.75591999890767,0.021052631578947368
100,simple_drone,190,0,0.0,3.6664521367926346,,,,
100,truck_only,190,1,0.005263157894736842,0.12792837243331107,107038.55891637842,1.0,,0.005263157894736842
