priority_weight_profile,method_name,n_runs,avg_objective,avg_improvement_vs_truck_only,avg_priority_tardiness_cost,avg_waiting_cost,avg_drone_service_share,feasibility_rate
base,nils,121,12750.726381986118,87.21442840793937,12584.186714848438,0.0,0.20468319559228648,1.0
base,nils_no_local_search,120,33170.1708901072,71.45154608048449,32927.77950230217,0.0,0.2326666666666667,1.0
base,nils_no_perturbation,122,13946.256202643948,82.33336747139958,13794.323343636159,0.0,0.19819672131147542,1.0
base,no_unpairing,118,14804.670053054042,82.40226370675583,14543.456479748944,96.52488134021581,0.17259887005649718,1.0
base,paired_baseline,119,16532.57406247146,77.29769670023234,16214.972834288112,140.28867093357732,0.17344537815126052,1.0
base,truck_only,117,82826.58733921338,,82599.10167053973,0.0,0.0,1.0
flat,nils,132,290.8502251976834,69.65557077823442,125.67735653675977,0.0,0.17823232323232324,1.0
flat,nils_no_local_search,135,888.2260265447413,53.367599266571304,650.4359675886083,0.0,0.1934320987654321,1.0
flat,nils_no_perturbation,134,323.96167864799384,68.10233042574265,179.458698119936,0.0,0.17606965174129355,1.0
flat,no_unpairing,128,493.46187982901705,53.43255801276741,248.19318970415048,79.23845027072656,0.09875,1.0
flat,paired_baseline,126,542.5207908090917,41.30847443562907,227.63142033925843,135.97744369125883,0.14497354497354498,1.0
flat,truck_only,130,2322.1001422010895,,2094.3562503808926,0.0,0.0,1.0
moderate,nils,120,2663.419786434902,84.21952126860955,2498.1705522111715,0.0,0.20233333333333334,1.0
moderate,nils_no_local_search,120,8481.879499778657,68.52082067047483,8235.504422095844,0.0,0.22991666666666666,1.0
moderate,nils_no_perturbation,121,2852.3310160548963,79.7631421233392,2697.805849098868,0.0,0.2014876033057851,1.0
moderate,no_unpairing,118,4285.762911982964,77.03405059241723,4025.4928252831896,86.18887893816162,0.14915254237288136,1.0
moderate,paired_baseline,119,4065.1256260189343,69.79715967326118,3740.2419616712996,145.90928775675872,0.1642016806722689,1.0
moderate,truck_only,115,17745.043817933034,,17514.005236623296,0.0,0.0,1.0
strict,nils,116,20499.785077667053,87.28237723827517,20340.187237820563,0.0,0.22333333333333333,1.0
strict,nils_no_local_search,122,65444.85662933515,72.83867624072722,65222.64069210619,0.0,0.2608469945355191,1.0
strict,nils_no_perturbation,125,26380.320014440513,80.11737370590409,26243.728123802095,0.0,0.21744,1.0
strict,no_unpairing,121,26419.989598483335,83.61566661670433,26176.113289329733,92.87108771593614,0.18705234159779613,1.0
strict,paired_baseline,116,24617.149968729263,80.42167621511489,24328.859717417996,121.98347280849964,0.17672413793103448,1.0
strict,truck_only,121,166330.00029372468,,166122.10046839973,0.0,0.0,1.0
