instance_id,random_seed,method_name,scenario_id,scenario_class,n,eligible_share,eligible_share_target,number_of_drones,number_of_trucks,endurance_level,speed_ratio,spatial_pattern,launch_retrieval_time_class,priority_weight_profile,battery_slack_ratio,priority_weight_high,priority_weight_medium,priority_weight_low,depot_position,objective_total,truck_travel_cost,drone_travel_cost,waiting_sync_cost,penalty_cost,priority_tardiness_cost,high_priority_tardiness_minutes,medium_priority_tardiness_minutes,low_priority_tardiness_minutes,total_priority_tardiness_minutes,high_priority_tardiness_weighted_cost,medium_priority_tardiness_weighted_cost,low_priority_tardiness_weighted_cost,fixed_deployment_cost,makespan_minutes,truck_route_distance_km,drone_flight_distance_km,customers_served_by_truck,customers_served_by_drone,drone_service_share,number_of_drone_launches,number_of_drone_retrievals,average_customers_per_drone_sortie,average_customers_per_drone_route,total_truck_waiting_time,total_drone_waiting_time,average_synchronization_delay,maximum_synchronization_delay,delayed_rendezvous_events,average_battery_usage_ratio,maximum_battery_usage_ratio,sorties_near_endurance_limit,infeasible_battery_attempts_rejected,eligible_not_assigned_due_battery,cpu_time_seconds,iterations,improving_moves_accepted,candidate_reassignments_evaluated,final_solution_feasibility_flag,status,run_label,truck_only_objective,truck_only_distance,simple_drone_objective,improvement_vs_truck_only_pct,improvement_vs_simple_drone_pct,truck_distance_reduction_pct,is_feasible_run,reporting_policy,reporting_penalty_value,objective_for_reporting,reporting_included,truck_only_objective_reported,simple_drone_objective_reported,improvement_vs_truck_only_reported_pct,improvement_vs_simple_drone_reported_pct
S0001_R01,102027,truck_only,S0001,n15_p0.25_d1_uniform_Emedium_V1.25_Hmedium_PWmoderate_B0.10,15,0.26666666666666666,0.25,1,3,medium,1.25,uniform,medium,moderate,0.1,20.0,5.0,1.0,peripheral,145.9945897994477,145.9945897994477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.42879256968027,182.49323724930963,0.0,15,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.00803685188293457,0.0,0.0,0.0,True,feasible,baseline_truck_only,145.9945897994477,182.49323724930963,145.9945897994477,,,0.0,True,feasible_only,0.0,145.9945897994477,True,145.9945897994477,145.9945897994477,,
S0001_R01,102027,simple_drone,S0001,n15_p0.25_d1_uniform_Emedium_V1.25_Hmedium_PWmoderate_B0.10,15,0.26666666666666666,0.25,1,3,medium,1.25,uniform,medium,moderate,0.1,20.0,5.0,1.0,peripheral,145.9945897994477,145.9945897994477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.69597385182266,182.49323724930963,0.0,15,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.06507325172424316,0.0,0.0,0.0,True,feasible,baseline_simple_drone,145.9945897994477,182.49323724930963,145.9945897994477,0.0,,0.0,True,feasible_only,0.0,145.9945897994477,True,145.9945897994477,145.9945897994477,0.0,
S0001_R01,102027,paired_baseline,S0001,n15_p0.25_d1_uniform_Emedium_V1.25_Hmedium_PWmoderate_B0.10,15,0.26666666666666666,0.25,1,3,medium,1.25,uniform,medium,moderate,0.1,20.0,5.0,1.0,peripheral,145.9945897994477,145.9945897994477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.42879256968027,182.49323724930963,0.0,15,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,5,5,0.056379079818725586,5.0,0.0,0.0,True,feasible,baseline_paired,145.9945897994477,182.49323724930963,145.9945897994477,0.0,0.0,0.0,True,feasible_only,0.0,145.9945897994477,True,145.9945897994477,145.9945897994477,0.0,0.0
S0001_R01,102027,no_unpairing,S0001,n15_p0.25_d1_uniform_Emedium_V1.25_Hmedium_PWmoderate_B0.10,15,0.26666666666666666,0.25,1,3,medium,1.25,uniform,medium,moderate,0.1,20.0,5.0,1.0,peripheral,145.9945897994477,145.9945897994477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.42879256968027,182.49323724930963,0.0,15,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,6,6,0.091217041015625,4.0,0.0,92.0,True,feasible,baseline_no_unpairing,145.9945897994477,182.49323724930963,145.9945897994477,0.0,0.0,0.0,True,feasible_only,0.0,145.9945897994477,True,145.9945897994477,145.9945897994477,0.0,0.0
S0001_R01,102027,nils,S0001,n15_p0.25_d1_uniform_Emedium_V1.25_Hmedium_PWmoderate_B0.10,15,0.26666666666666666,0.25,1,3,medium,1.25,uniform,medium,moderate,0.1,20.0,5.0,1.0,peripheral,140.7663160012282,135.12975907713096,5.636556924097262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.72716860216438,168.91219884641365,18.788523080324207,14,1,0.06666666666666667,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0.3757704616064842,0.3757704616064842,0,8,8,0.13566851615905762,8.0,1.0,6.0,True,feasible,nils_complete,145.9945897994477,182.49323724930963,145.9945897994477,3.581142154241172,3.581142154241172,7.4419406481033095,True,feasible_only,0.0,140.7663160012282,True,145.9945897994477,145.9945897994477,3.581142154241172,3.581142154241172
S0001_R01,102027,nils_no_local_search,S0001,n15_p0.25_d1_uniform_Emedium_V1.25_Hmedium_PWmoderate_B0.10,15,0.26666666666666666,0.25,1,3,medium,1.25,uniform,medium,moderate,0.1,20.0,5.0,1.0,peripheral,145.9945897994477,145.9945897994477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.42879256968027,182.49323724930963,0.0,15,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,12,12,0.14049673080444336,12.0,0.0,12.0,True,feasible,ablation_no_local_search,145.9945897994477,182.49323724930963,145.9945897994477,0.0,0.0,0.0,True,feasible_only,0.0,145.9945897994477,True,145.9945897994477,145.9945897994477,0.0,0.0
S0001_R01,102027,nils_no_perturbation,S0001,n15_p0.25_d1_uniform_Emedium_V1.25_Hmedium_PWmoderate_B0.10,15,0.26666666666666666,0.25,1,3,medium,1.25,uniform,medium,moderate,0.1,20.0,5.0,1.0,peripheral,140.7663160012282,135.12975907713096,5.636556924097262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.72716860216438,168.91219884641365,18.788523080324207,14,1,0.06666666666666667,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0.3757704616064842,0.3757704616064842,0,12,12,0.0637202262878418,12.0,1.0,9.0,True,feasible,ablation_no_perturbation,145.9945897994477,182.49323724930963,145.9945897994477,3.581142154241172,3.581142154241172,7.4419406481033095,True,feasible_only,0.0,140.7663160012282,True,145.9945897994477,145.9945897994477,3.581142154241172,3.581142154241172
S0002_R01,202027,truck_only,S0002,n15_p0.25_d1_uniform_Ehigh_V2.00_Hshort_PWbase_B0.10,15,0.26666666666666666,0.25,1,3,high,2.0,uniform,short,base,0.1,100.0,20.0,1.0,peripheral,4142.137553790055,153.57933407211613,0.0,0.0,3988.5582197179388,3988.5582197179388,39.88558219717939,0.0,0.0,39.88558219717939,3988.5582197179388,0.0,0.0,0.0,140.10545005335734,191.97416759014513,0.0,15,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.008179903030395508,0.0,0.0,0.0,True,feasible,baseline_truck_only,4142.137553790055,191.97416759014513,4142.137553790055,,,0.0,True,feasible_only,0.0,4142.137553790055,True,4142.137553790055,4142.137553790055,,
S0002_R01,202027,simple_drone,S0002,n15_p0.25_d1_uniform_Ehigh_V2.00_Hshort_PWbase_B0.10,15,0.26666666666666666,0.25,1,3,high,2.0,uniform,short,base,0.1,100.0,20.0,1.0,peripheral,4142.137553790055,153.57933407211613,0.0,0.0,3988.5582197179388,3988.5582197179388,39.88558219717939,0.0,0.0,39.88558219717939,3988.5582197179388,0.0,0.0,0.0,140.10545005335734,191.97416759014513,0.0,15,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.13346219062805176,0.0,0.0,0.0,True,feasible,simple_drone|fallback_truck_only,4142.137553790055,191.97416759014513,4142.137553790055,0.0,,0.0,True,feasible_only,0.0,4142.137553790055,True,4142.137553790055,4142.137553790055,0.0,
S0002_R01,202027,paired_baseline,S0002,n15_p0.25_d1_uniform_Ehigh_V2.00_Hshort_PWbase_B0.10,15,0.26666666666666666,0.25,1,3,high,2.0,uniform,short,base,0.1,100.0,20.0,1.0,peripheral,3012.5455108917113,157.30966853252738,13.78535443782339,149.31779437604501,2692.1326935453153,2692.1326935453153,26.921326935453152,0.0,0.0,26.921326935453152,2692.1326935453153,0.0,0.0,0.0,127.33976697594572,196.63708566565924,45.9511814594113,13,2,0.13333333333333333,1,2,2.0,2.0,0.0,149.31779437604501,49.77259812534834,86.84798359344022,2,0.4491585382398469,0.4491585382398469,0,0,0,0.17445063591003418,12.0,1.0,28.0,True,feasible,baseline_paired,4142.137553790055,191.97416759014513,4142.137553790055,27.270751592128253,27.270751592128253,-2.428929961800486,True,feasible_only,0.0,3012.5455108917113,True,4142.137553790055,4142.137553790055,27.270751592128253,27.270751592128253
