scenario_class,n,spatial_pattern,endurance_level,eligible_share_target,number_of_drones,number_of_generated_instances
n15_p0.25_d1_uniform_Ehigh_V2.00_Hshort_PWbase_B0.10,15,uniform,high,0.25,1,1
n15_p0.25_d1_uniform_Emedium_V1.25_Hmedium_PWmoderate_B0.10,15,uniform,medium,0.25,1,1
n15_p0.75_d1_uniform_Ehigh_V1.25_Hshort_PWmoderate_B0.10,15,uniform,high,0.75,1,1
n15_p0.75_d1_uniform_Emedium_V2.00_Hmedium_PWmoderate_B0.10,15,uniform,medium,0.75,1,1
n50_p0.25_d1_uniform_Ehigh_V1.25_Hmedium_PWmoderate_B0.10,50,uniform,high,0.25,1,1
n50_p0.25_d1_uniform_Emedium_V2.00_Hshort_PWbase_B0.10,50,uniform,medium,0.25,1,1
n50_p0.25_d2_uniform_Ehigh_V1.25_Hshort_PWbase_B0.10,50,uniform,high,0.25,2,1
n50_p0.25_d2_uniform_Ehigh_V2.00_Hmedium_PWmoderate_B0.10,50,uniform,high,0.25,2,1
n50_p0.25_d2_uniform_Emedium_V2.00_Hmedium_PWbase_B0.10,50,uniform,medium,0.25,2,1
n50_p0.75_d1_uniform_Ehigh_V2.00_Hmedium_PWbase_B0.10,50,uniform,high,0.75,1,1
n50_p0.75_d1_uniform_Emedium_V1.25_Hshort_PWmoderate_B0.10,50,uniform,medium,0.75,1,1
n50_p0.75_d2_uniform_Ehigh_V1.25_Hmedium_PWbase_B0.10,50,uniform,high,0.75,2,1
n50_p0.75_d2_uniform_Ehigh_V2.00_Hshort_PWmoderate_B0.10,50,uniform,high,0.75,2,1
n50_p0.75_d2_uniform_Emedium_V2.00_Hshort_PWbase_B0.10,50,uniform,medium,0.75,2,1
