priority_weight_profile,method_name,n_runs,avg_objective,avg_improvement_vs_truck_only,avg_priority_tardiness_cost,avg_waiting_cost,avg_drone_service_share,feasibility_rate
base,nils,7,12674.567105288455,79.99134173414994,12444.839941155633,0.0,0.16666666666666669,1.0
base,nils_no_local_search,7,42211.34975346244,62.61569324210865,41888.13036991662,0.0,0.19523809523809524,1.0
base,nils_no_perturbation,7,14210.489887674716,78.73488284519904,13986.227118349418,0.0,0.1476190476190476,1.0
base,no_unpairing,7,15260.39313292183,77.22340435732067,14939.626935444763,99.62552647287713,0.09904761904761905,1.0
base,paired_baseline,7,14307.506585393323,75.91859817177132,13875.501964168263,199.29169736129091,0.1361904761904762,1.0
base,simple_drone,7,90541.13188005661,-0.05737412009334635,90192.3624019384,0.0,0.0,1.0
base,truck_only,7,90465.01594995246,,90117.61746484702,0.0,0.0,1.0
moderate,nils,7,1705.4422288179942,75.51122697230872,1511.83542168411,0.0,0.1761904761904762,1.0
moderate,nils_no_local_search,7,4334.605769343606,59.05953877136233,4085.6394548339385,0.0,0.17714285714285713,1.0
moderate,nils_no_perturbation,7,2011.3705115931873,72.68007047324332,1822.845632512042,0.0,0.1761904761904762,1.0
moderate,no_unpairing,7,2603.6227171199603,70.69524763017273,2307.5496920772207,103.94020248292473,0.1419047619047619,1.0
moderate,paired_baseline,7,2875.112208730677,68.59066593702565,2561.030131651987,110.825162395181,0.10857142857142857,1.0
moderate,simple_drone,7,13862.947754776023,0.0,13590.624190115452,0.0,0.0,1.0
moderate,truck_only,7,13862.947754776023,,13590.624190115452,0.0,0.0,1.0
