method,customer,priority,ub,served_by,vehicle,delivered_at_eval_min,tardiness_eval_min,weighted_tardiness_eval
exact,1,high,60.02081804123808,drone,2,12.861197157789602,0.0,0.0
exact,2,low,240.14698778775613,drone,2,20.08897829957567,0.0,0.0
exact,3,low,239.78251362046447,drone,2,12.12794277641018,0.0,0.0
exact,4,high,60.032447335315965,drone,2,26.009906316704143,0.0,0.0
exact,5,high,60.1044535911339,drone,2,15.473547670594723,0.0,0.0
exact,6,medium,120.05679969743484,drone,2,22.957642826514203,0.0,0.0
exact,7,low,240.03557704609636,drone,2,27.914223385158618,0.0,0.0
exact,8,medium,120.01383054356039,drone,2,16.89764236911895,0.0,0.0
nils,1,high,60.02081804123808,drone,1,22.507558274290222,0.0,0.0
nils,2,low,240.14698778775613,drone,1,16.111236704327645,0.0,0.0
nils,3,low,239.78251362046447,drone,1,24.572047905115177,0.0,0.0
nils,4,high,60.032447335315965,drone,1,31.67853300418583,0.0,0.0
nils,5,high,60.1044535911339,drone,1,27.687569235434072,0.0,0.0
nils,6,medium,120.05679969743484,drone,1,18.344289865961784,0.0,0.0
nils,7,low,240.03557704609636,drone,1,32.88722618849916,0.0,0.0
nils,8,medium,120.01383054356039,drone,1,28.740629761458433,0.0,0.0
