instance_id,scenario_id,n,feasible_nilsr,objective_nilsr,cpu_time_nilsr,feasible_other,objective_other,cpu_time_other,usable_nilsr,usable_other,pair_feasible,objective_diff_nilsr_minus_other,improvement_nilsr_vs_other_pct,winner
S0001_R01,S0001,15,True,53.0377964654,1.1573281288,True,46.7022129914,7.0049097538,True,True,True,6.3355834740,-13.5659170480,feasibility_aware_alns
S0001_R02,S0001,15,True,56.1441439138,1.4930007458,True,54.8605950805,10.0361282825,True,True,True,1.2835488333,-2.3396553235,feasibility_aware_alns
S0001_R03,S0001,15,True,303.9816844475,0.6874208450,True,138.5118998741,10.0536165237,True,True,True,165.4697845734,-119.4625044663,feasibility_aware_alns
S0001_R04,S0001,15,True,57.6177680989,0.8551290035,True,47.9338962210,8.5476777554,True,True,True,9.6838718779,-20.2025552716,feasibility_aware_alns
S0001_R05,S0001,15,True,120.6826623060,1.0185589790,True,768.0699736451,4.1126585007,True,True,True,-647.3873113391,84.2875432647,nils_r
S0001_R06,S0001,15,True,51.9446888923,1.5260109901,True,52.5812866233,7.6428353786,True,True,True,-0.6365977310,1.2106925712,nils_r
S0001_R07,S0001,15,True,84.8081832400,1.5000779629,True,58.2399305283,7.6030340195,True,True,True,26.5682527117,-45.6186201987,feasibility_aware_alns
S0001_R08,S0001,15,True,127.1246283841,1.5912742615,True,364.6330978494,10.0820741653,True,True,True,-237.5084694653,65.1362892908,nils_r
S0001_R09,S0001,15,True,64.9874093858,1.5602736473,True,527.0432090561,4.2353448868,True,True,True,-462.0557996703,87.6694342572,nils_r
S0001_R10,S0001,15,True,117.4632441245,2.1258428097,True,263.0967978631,10.0088109970,True,True,True,-145.6335537386,55.3536017623,nils_r
S0002_R01,S0002,15,True,79.5340332504,1.3795113564,True,55.1972261192,8.0939357281,True,True,True,24.3368071312,-44.0906343349,feasibility_aware_alns
S0002_R02,S0002,15,True,126.0112444808,1.3597724438,True,4174.2148607470,10.0209980011,True,True,True,-4048.2036162662,96.9811988917,nils_r
S0002_R03,S0002,15,True,1569.8844143070,0.9728870392,True,5150.6753786083,10.0227692127,True,True,True,-3580.7909643013,69.5208045759,nils_r
S0002_R04,S0002,15,True,1422.8879513994,0.8300476074,True,2735.4182046691,10.0353257656,True,True,True,-1312.5302532697,47.9828002544,nils_r
S0002_R05,S0002,15,True,50.3773446243,1.6006138325,True,50.4053151258,10.0050480366,True,True,True,-0.0279705015,0.0554911748,nils_r
S0002_R06,S0002,15,True,109.9629880183,1.3317329884,True,1325.8126784144,5.2445225716,True,True,True,-1215.8496903961,91.7059936288,nils_r
S0002_R07,S0002,15,True,51.4860936008,1.1477472782,True,52.1119851225,6.2274520397,True,True,True,-0.6258915217,1.2010510063,nils_r
S0002_R08,S0002,15,True,120.3040632275,0.4761207104,True,1437.4898802394,10.0280344486,True,True,True,-1317.1858170119,91.6309627719,nils_r
S0002_R09,S0002,15,True,53.9577274283,1.6228191853,True,53.2978353182,5.5634751320,True,True,True,0.6598921101,-1.2381217852,feasibility_aware_alns
S0002_R10,S0002,15,True,114.3629445150,0.8400011063,True,3011.1019196369,10.0290706158,True,True,True,-2896.7389751219,96.2019570387,nils_r
S0003_R01,S0003,15,True,179.8327191443,0.9108161926,True,249.0298265805,5.6375617981,True,True,True,-69.1971074362,27.7866745467,nils_r
S0003_R02,S0003,15,True,163.4442414448,0.7957363129,True,160.6974190662,10.0485379696,True,True,True,2.7468223786,-1.7093133135,feasibility_aware_alns
S0003_R03,S0003,15,True,154.1309294852,1.3269665241,True,249.6965236283,4.8125510216,True,True,True,-95.5655941431,38.2726970942,nils_r
S0003_R04,S0003,15,True,175.8400682827,1.0120074749,True,166.9372356950,10.0105485916,True,True,True,8.9028325877,-5.3330418170,feasibility_aware_alns
S0003_R05,S0003,15,True,191.6425728705,0.8038449287,True,210.9944908304,10.0180430412,True,True,True,-19.3519179599,9.1717645725,nils_r
S0003_R06,S0003,15,True,110.1069717205,0.2618932724,True,110.1069717205,10.0191676617,True,True,True,0.0000000000,0.0000000000,tie
S0003_R07,S0003,15,True,141.7384765012,0.7874140739,True,149.3004779508,5.2416219711,True,True,True,-7.5620014496,5.0649546159,nils_r
