instance_id,scenario_id,n,feasible_nilsr,objective_nilsr,cpu_time_nilsr,feasible_other,objective_other,cpu_time_other,usable_nilsr,usable_other,pair_feasible,objective_diff_nilsr_minus_other,improvement_nilsr_vs_other_pct,winner
S0001_R01,S0001,15,True,53.0377964654,1.1573281288,True,53.0377964654,1.0428206921,True,True,True,0.0000000000,0.0000000000,tie
S0001_R02,S0001,15,True,56.1441439138,1.4930007458,True,56.1441439138,1.4323709011,True,True,True,0.0000000000,0.0000000000,tie
S0001_R03,S0001,15,True,303.9816844475,0.6874208450,True,110.6349257546,1.6962075233,True,True,True,193.3467586929,-174.7610507027,nils
S0001_R04,S0001,15,True,57.6177680989,0.8551290035,True,57.6177680989,0.7795853615,True,True,True,0.0000000000,0.0000000000,tie
S0001_R05,S0001,15,True,120.6826623060,1.0185589790,True,120.6826623060,0.8690454960,True,True,True,0.0000000000,0.0000000000,tie
S0001_R06,S0001,15,True,51.9446888923,1.5260109901,True,51.9446888923,0.7887589931,True,True,True,0.0000000000,0.0000000000,tie
S0001_R07,S0001,15,True,84.8081832400,1.5000779629,True,84.8081832400,0.6240546703,True,True,True,0.0000000000,0.0000000000,tie
S0001_R08,S0001,15,True,127.1246283841,1.5912742615,True,127.1246283841,0.7431025505,True,True,True,0.0000000000,0.0000000000,tie
S0001_R09,S0001,15,True,64.9874093858,1.5602736473,True,64.9874093858,0.9522626400,True,True,True,0.0000000000,0.0000000000,tie
S0001_R10,S0001,15,True,117.4632441245,2.1258428097,True,117.4632441245,1.1098644733,True,True,True,0.0000000000,0.0000000000,tie
S0002_R01,S0002,15,True,79.5340332504,1.3795113564,True,79.5340332504,0.8630065918,True,True,True,0.0000000000,0.0000000000,tie
S0002_R02,S0002,15,True,126.0112444808,1.3597724438,True,126.0112444808,0.9083719254,True,True,True,0.0000000000,0.0000000000,tie
S0002_R03,S0002,15,True,1569.8844143070,0.9728870392,True,129.5818202800,0.9357383251,True,True,True,1440.3025940270,-1111.5005105769,nils
S0002_R04,S0002,15,True,1422.8879513994,0.8300476074,True,127.3470481762,0.8269999027,True,True,True,1295.5409032232,-1017.3309250409,nils
