instance_id,scenario_id,n,method_name,customer_id,delivery_time,deadline,tardiness,on_time,minutes_early_when_on_time,delivery_time_relative_to_deadline,served_by_drone
S0001_R01,S0001,15,truck_only,5,53.5354466467,59.9717286177,0.0,True,6.4362819709,0.8926780648,0
S0001_R01,S0001,15,nils,5,54.0036979836,59.9717286177,0.0,True,5.9680306341,0.9004859328,0
S0001_R01,S0001,15,feasibility_aware_alns,5,55.1655036773,59.9717286177,0.0,True,4.8062249404,0.9198584891,0
S0001_R02,S0001,15,truck_only,2,41.0890172319,59.9687180637,0.0,True,18.8797008318,0.6851741801,0
S0001_R02,S0001,15,truck_only,6,69.1760783979,59.85044152,9.3256368779,False,,1.1558156739,0
S0001_R02,S0001,15,nils,2,45.7443817498,59.9687180637,0.0,True,14.2243363138,0.7628040623,0
S0001_R02,S0001,15,nils,6,15.7957814202,59.85044152,0.0,True,44.0546600998,0.2639208838,1
S0001_R02,S0001,15,feasibility_aware_alns,2,41.9007540136,59.9687180637,0.0,True,18.06796405,0.6987101837,0
S0001_R02,S0001,15,feasibility_aware_alns,6,15.7957814202,59.85044152,0.0,True,44.0546600998,0.2639208838,1
S0001_R03,S0001,15,truck_only,2,40.1121509651,59.9717176283,0.0,True,19.8595666632,0.6688511277,0
S0001_R03,S0001,15,truck_only,5,49.7420545943,60.1015998527,0.0,True,10.3595452584,0.8276327871,0
S0001_R03,S0001,15,truck_only,9,71.9341824045,60.1731032986,11.761079106,False,,1.1954540893,0
S0001_R03,S0001,15,truck_only,15,105.2747320477,60.055100976,45.2196310717,False,,1.7529690291,0
S0001_R03,S0001,15,nils,2,34.5136651454,59.9717176283,0.0,True,25.4580524829,0.575499027,0
S0001_R03,S0001,15,nils,5,31.8897432049,60.1015998527,0.0,True,28.2118566478,0.5305972434,0
S0001_R03,S0001,15,nils,9,36.8973463009,60.1731032986,0.0,True,23.2757569977,0.6131866944,0
S0001_R03,S0001,15,nils,15,34.7238591974,60.055100976,0.0,True,25.3312417785,0.5781999969,0
S0001_R03,S0001,15,feasibility_aware_alns,2,53.3697606224,59.9717176283,0.0,True,6.6019570059,0.8899154924,0
