instance_id,seed,size,reconstruction_attempt,trigger_reason,num_drone_customers_before,num_candidates_evaluated,num_customers_returned_to_truck,customer_ids_returned,Z_before,Z_after,HPT_before,HPT_after,MaxHPT_before,MaxHPT_after,P90HPT_before,P90HPT_after,drone_share_before,drone_share_after,active_drones_before,active_drones_after,accepted,rejection_reason,cpu_reconstruction
S0001_R03,102029,15,1,high_priority_tardiness;max_high_priority_tardiness,1,1,1,4.0,327.2817060625,303.9816844475,13.8807986848,13.0554031849,9.1789830024,8.3535875024,7.8358328064,7.2580559564,0.0666666667,0.0,1,0,True,,0.3647307002
S0001_R05,102031,15,1,high_priority_tardiness;max_high_priority_tardiness,2,2,0,14.0,356.8121139309,631.8060188006,15.0965933175,28.9258498172,15.0965933175,17.8340006752,7.5482966587,12.5121367732,0.1333333333,0.0666666667,1,1,False,priority_guard_or_objective_guard,0.5462071002
S0001_R07,102033,15,1,high_priority_tardiness;max_high_priority_tardiness,0,0,0,,4102.9768914693,4102.9768914693,195.9982694761,195.9982694761,68.7621389022,68.7621389022,64.4974730496,64.4974730496,0.0,0.0,0,0,False,no_positive_reverse_reassignment,0.0097384001
S0001_R08,102034,15,1,high_priority_tardiness;max_high_priority_tardiness,1,1,0,1.0,364.6330978494,765.6886252941,15.350579584,35.8486890005,10.6903288366,19.9030844982,8.8813054098,18.1390645211,0.0666666667,0.0,1,0,False,priority_guard_or_objective_guard,0.4962243
S0001_R10,102036,15,1,high_priority_tardiness;max_high_priority_tardiness,1,1,0,,614.1439988375,614.1439988375,27.9078923462,27.9078923462,14.9108115843,14.9108115843,14.5280654198,14.5280654198,0.0666666667,0.0666666667,1,1,False,no_positive_reverse_reassignment,0.3510299001
S0002_R01,202027,15,1,high_priority_tardiness;max_high_priority_tardiness,0,0,0,,11547.084796892,11547.084796892,55.4685456702,55.4685456702,55.4685456702,55.4685456702,55.4685456702,55.4685456702,0.0,0.0,0,0,False,no_positive_reverse_reassignment,0.0009524
S0002_R02,202028,15,1,high_priority_tardiness;max_high_priority_tardiness,1,1,0,,3957.3366839164,3957.3366839164,19.494101712,19.494101712,15.3341389442,15.3341389442,11.9818860913,11.9818860913,0.0666666667,0.0666666667,1,1,False,no_positive_reverse_reassignment,0.2245582
S0002_R03,202029,15,1,high_priority_tardiness;max_high_priority_tardiness,1,1,1,1.0,5521.8569418702,1792.336230881,27.3233813341,8.7205986436,26.3127227473,8.7205986436,21.2523099152,6.9764789149,0.0666666667,0.0,1,0,True,,0.4105074001
S0002_R04,202030,15,1,high_priority_tardiness;max_high_priority_tardiness,1,1,1,10.0,3326.4265602329,1422.8879513994,16.3496355243,6.8773005687,12.8533086542,6.8773005687,7.6445831524,3.4386502843,0.0666666667,0.0,1,0,True,,0.4762387001
S0002_R06,202032,15,1,high_priority_tardiness;max_high_priority_tardiness,0,0,0,,26097.7415597371,26097.7415597371,130.1516079972,130.1516079972,56.5265621803,56.5265621803,53.0020230954,53.0020230954,0.0,0.0,0,0,False,no_positive_reverse_reassignment,0.0014571999
S0002_R10,202036,15,1,high_priority_tardiness;max_high_priority_tardiness,0,0,0,,24701.2223158054,24701.2223158054,101.9764356144,101.9764356144,83.7357307955,83.7357307955,57.5377204049,57.5377204049,0.0,0.0,0,0,False,no_positive_reverse_reassignment,0.0010088
S0003_R01,302027,15,1,high_priority_tardiness;max_high_priority_tardiness,3,3,1,3.0,179.8564865845,179.8327191443,37.504978975,37.504978975,34.5004239019,34.5004239019,21.9020763704,21.9020763704,0.2,0.1333333333,1,1,True,,0.5706717002
S0003_R02,302028,15,1,high_priority_tardiness;max_high_priority_tardiness,2,2,1,1.0,163.7301870117,163.4442414448,25.7700462462,25.7700462462,20.3822552001,20.3822552001,12.8850231231,12.8850231231,0.1333333333,0.0666666667,1,1,True,,0.4653226999
S0003_R03,302029,15,1,high_priority_tardiness;max_high_priority_tardiness,3,3,1,8.0,215.7864671422,212.9813434038,54.3775945129,54.3775945129,43.2618321547,43.2618321547,36.8326181954,36.8326181954,0.2,0.1333333333,1,1,True,,0.5763463001
S0003_R04,302030,15,1,high_priority_tardiness;max_high_priority_tardiness,3,3,0,,175.8400682827,175.8400682827,57.0941131965,57.0941131965,32.1916044388,32.1916044388,30.0048757345,30.0048757345,0.2,0.2,1,1,False,no_positive_reverse_reassignment,0.4299192999
S0003_R05,302031,15,1,high_priority_tardiness;max_high_priority_tardiness,2,2,1,6.0,210.9944908304,191.6425728705,72.9385175855,60.1053364761,36.3575761171,36.3575761171,31.3136498139,31.3136498139,0.1333333333,0.0666666667,1,1,True,,0.518465
