instance_id,scenario_id,n,method_name,feasible,cpu_time_seconds,error,objective,priority_tardiness_cost,high_priority_tardiness,max_high_priority_tardiness,p90_high_priority_tardiness,drone_served_customers,drone_share,truck_travel_cost,drone_travel_cost,waiting_sync_cost,truck_route_distance_km,drone_flight_distance_km,total_truck_waiting_time,total_drone_waiting_time,average_synchronization_delay,maximum_synchronization_delay,average_battery_usage_ratio,maximum_battery_usage_ratio,sorties_near_endurance_limit,eligible_not_assigned_due_battery,makespan_minutes,number_of_drone_launches,number_of_drone_retrievals
S0001_R01,S0001,15,truck_only,True,0.0274991989,,64.1523325057,0.0,0.0,0.0,0.0,0,0.0,64.1523325057,0.0,0.0,80.1904156322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.2041106041,0.0,0.0
S0001_R01,S0001,15,nils,True,1.0428206921,,53.0377964654,0.0,0.0,0.0,0.0,2,0.1333333333,45.0020694953,8.0357269701,0.0,56.2525868691,26.7857565672,0.0,0.0,0.0,0.0,0.7722797764,0.7722797764,0.0,0.0,108.1589271417,1.0,1.0
S0001_R01,S0001,15,feasibility_aware_alns,True,7.0049097538,,46.7022129914,0.0,0.0,0.0,0.0,0,0.0,46.7022129914,0.0,0.0,58.3777662392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.810997359,0.0,0.0
S0001_R02,S0001,15,truck_only,True,0.029853344,,262.844973285,186.5127375584,9.3256368779,9.3256368779,8.3930731901,0,0.0,76.3322357266,0.0,0.0,95.4152946583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.7393669996,0.0,0.0
S0001_R02,S0001,15,nils,True,1.4323709011,,56.1441439138,0.0,0.0,0.0,0.0,1,0.0666666667,49.2334895425,6.9106543713,0.0,61.5418619281,23.0355145711,0.0,0.0,0.0,0.0,0.6581575592,0.6581575592,0.0,0.0,117.8672794458,1.0,1.0
S0001_R02,S0001,15,feasibility_aware_alns,True,10.0361282825,,54.8605950805,0.0,0.0,0.0,0.0,2,0.1333333333,45.5584100559,9.3021850246,0.0,56.9480125698,31.0072834153,0.0,0.0,0.0,0.0,0.8942434422,0.8942434422,0.0,0.0,109.4595843241,1.0,1.0
S0001_R03,S0001,15,truck_only,True,0.0219140053,,1198.1562071048,1139.6142035544,56.9807101777,45.2196310717,35.182065482,0,0.0,58.5420035504,0.0,0.0,73.177504438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.3568886425,0.0,0.0
S0001_R03,S0001,15,nils,True,1.6962075233,,110.6349257546,0.0,0.0,0.0,0.0,1,0.0666666667,103.1746358442,7.4602899104,0.0,128.9682948052,24.8676330348,0.0,0.0,0.0,0.0,0.710503801,0.710503801,0.0,0.0,93.0038761954,1.0,1.0
S0001_R03,S0001,15,feasibility_aware_alns,True,10.0536165237,,138.5118998741,88.6247306935,4.4312365347,4.4312365347,3.1018655743,4,0.2666666667,41.092905493,8.7942636877,0.0,51.3661318662,29.3142122922,0.0,0.0,0.0,0.0,0.8556982257,0.8556982257,0.0,0.0,95.7529194681,1.0,1.0
S0001_R04,S0001,15,truck_only,True,0.0143904686,,1968.5490659328,1893.810890878,94.6905445439,63.4816980327,60.2544128805,0,0.0,74.7381750548,0.0,0.0,93.4227188184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.1709820112,0.0,0.0
S0001_R04,S0001,15,nils,True,0.7795853615,,57.6177680989,0.0,0.0,0.0,0.0,1,0.0666666667,49.7308442055,7.8869238934,0.0,62.1635552568,26.2897463115,0.0,0.0,0.0,0.0,0.7511356089,0.7511356089,0.0,0.0,118.1643452304,1.0,1.0
S0001_R04,S0001,15,feasibility_aware_alns,True,8.5476777554,,47.933896221,0.0,0.0,0.0,0.0,0,0.0,47.933896221,0.0,0.0,59.9173702763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.7332416532,0.0,0.0
S0001_R05,S0001,15,truck_only,True,0.0231335163,,2919.7694664445,2851.1684037022,142.5584201851,59.1532373197,56.2385658192,0,0.0,68.6010627423,0.0,0.0,85.7513284278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.787494322,0.0,0.0
S0001_R05,S0001,15,nils,True,0.869045496,,120.682662306,0.0,0.0,0.0,0.0,2,0.1333333333,112.4769690983,8.2056932077,0.0,140.5962113729,27.3523106923,0.0,0.0,0.0,0.0,0.7919851209,0.7919851209,0.0,0.0,88.5754971745,1.0,1.0
S0001_R05,S0001,15,feasibility_aware_alns,True,4.1126585007,,768.0699736451,709.7562879373,35.4878143969,16.4332140555,14.7888657552,2,0.1333333333,49.3826898855,8.9309958224,0.0,61.7283623568,29.7699860746,0.0,0.0,0.0,0.0,0.8613318086,0.8613318086,0.0,0.0,119.2477061979,1.0,1.0
S0001_R06,S0001,15,truck_only,True,0.014736414,,991.2626326933,920.4216083097,46.0210804155,34.980979292,32.5868914751,0,0.0,70.8410243836,0.0,0.0,88.5512804795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.2060080951,0.0,0.0
S0001_R06,S0001,15,nils,True,0.7887589931,,51.9446888923,0.0,0.0,0.0,0.0,2,0.1333333333,43.765690538,8.1789983543,0.0,54.7071131726,27.2633278476,0.0,0.0,0.0,0.0,0.7937014173,0.7937014173,0.0,0.0,103.9484609443,1.0,1.0
S0001_R06,S0001,15,feasibility_aware_alns,True,7.6428353786,,52.5812866233,0.0,0.0,0.0,0.0,3,0.2,43.3738977224,9.2073889008,0.0,54.217372153,30.6912963361,0.0,0.0,0.0,0.0,0.8963320403,0.8963320403,0.0,0.0,101.9815444112,1.0,1.0
S0001_R07,S0001,15,truck_only,True,0.0240075588,,4102.9768914693,4026.2386493062,195.9982694761,68.7621389022,64.4974730496,0,0.0,76.7382421631,0.0,0.0,95.9228027039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.1590032494,0.0,0.0
S0001_R07,S0001,15,nils,True,0.6240546703,,84.80818324,0.0,0.0,0.0,0.0,0,0.0,84.80818324,0.0,0.0,106.0102290501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.899342255,0.0,0.0
S0001_R07,S0001,15,feasibility_aware_alns,True,7.6030340195,,58.2399305283,0.0,0.0,0.0,0.0,3,0.2,49.1046566051,9.1352739232,0.0,61.3808207564,30.4509130773,0.0,0.0,0.0,0.0,0.8798093667,0.8798093667,0.0,0.0,116.3765882294,1.0,1.0
S0001_R08,S0001,15,truck_only,True,0.0181410313,,2164.6239578976,2095.116202746,104.7558101373,53.8247472841,47.7597054655,0,0.0,69.5077551516,0.0,0.0,86.8846939395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.584503594,0.0,0.0
S0001_R08,S0001,15,nils,True,0.7431025505,,127.1246283841,0.0,0.0,0.0,0.0,1,0.0666666667,119.1040823645,8.0205460196,0.0,148.8801029556,26.7351533987,0.0,0.0,0.0,0.0,0.7638615257,0.7638615257,0.0,0.0,90.3939981674,1.0,1.0
S0001_R08,S0001,15,feasibility_aware_alns,True,10.0820741653,,364.6330978494,307.0115916794,15.350579584,10.6903288366,8.8813054098,1,0.0666666667,49.6009601504,8.0205460196,0.0,62.001200188,26.7351533987,0.0,0.0,0.0,0.0,0.7638615257,0.7638615257,0.0,0.0,118.5273564184,1.0,1.0
S0001_R09,S0001,15,truck_only,True,0.0204119682,,64.9874093858,0.0,0.0,0.0,0.0,0,0.0,64.9874093858,0.0,0.0,81.2342617322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.060633842,0.0,0.0
S0001_R09,S0001,15,nils,True,0.95226264,,64.9874093858,0.0,0.0,0.0,0.0,0,0.0,64.9874093858,0.0,0.0,81.2342617322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.060633842,0.0,0.0
S0001_R09,S0001,15,feasibility_aware_alns,True,4.2353448868,,527.0432090561,477.5275683731,23.8763784187,23.8763784187,23.8763784187,0,0.0,49.5156406829,0.0,0.0,61.8945508537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.9068437645,0.0,0.0
S0001_R10,S0001,15,truck_only,True,0.0166079998,,1190.0201529885,1117.6498921806,53.5572508643,53.5572508643,42.8458006914,0,0.0,72.3702608079,0.0,0.0,90.4628260099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.3058951507,0.0,0.0
S0001_R10,S0001,15,nils,True,1.1098644733,,117.4632441245,0.0,0.0,0.0,0.0,1,0.0666666667,109.9745914094,7.4886527151,0.0,137.4682392617,24.9621757169,0.0,0.0,0.0,0.0,0.7132050205,0.7132050205,0.0,0.0,100.4201066749,1.0,1.0
S0001_R10,S0001,15,feasibility_aware_alns,True,10.008810997,,263.0967978631,206.5323039078,10.3266151954,6.0663997158,5.7051628686,2,0.1333333333,47.4206379615,9.1438559938,0.0,59.2757974519,30.4795199793,0.0,0.0,0.0,0.0,0.8933632005,0.8933632005,0.0,0.0,113.389124053,1.0,1.0
S0002_R01,S0002,15,truck_only,True,0.0126826763,,11547.084796892,11472.6577510986,55.4685456702,55.4685456702,55.4685456702,0,0.0,74.4270457934,0.0,0.0,93.0338072418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.2110920647,0.0,0.0
S0002_R01,S0002,15,nils,True,0.8630065918,,79.5340332504,0.0,0.0,0.0,0.0,0,0.0,79.5340332504,0.0,0.0,99.4175415629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.2732423759,0.0,0.0
S0002_R01,S0002,15,feasibility_aware_alns,True,8.0939357281,,55.1972261192,0.0,0.0,0.0,0.0,2,0.1333333333,46.1135125182,9.083713601,0.0,57.6418906478,30.2790453366,0.0,0.0,0.0,0.0,0.869540139,0.869540139,0.0,0.0,109.4049952932,1.0,1.0
S0002_R02,S0002,15,truck_only,True,0.0208323002,,16323.0692101719,16254.8293688542,80.7890125759,46.7230825476,42.9259367918,0,0.0,68.2398413178,0.0,0.0,85.2998016472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.5105178074,0.0,0.0
S0002_R02,S0002,15,nils,True,0.9083719254,,126.0112444808,0.0,0.0,0.0,0.0,1,0.0666666667,118.5035875327,7.5076569481,0.0,148.1294844159,25.0255231605,0.0,0.0,0.0,0.0,0.7150149474,0.7150149474,0.0,0.0,96.2212894165,1.0,1.0
S0002_R02,S0002,15,feasibility_aware_alns,True,10.0209980011,,4174.214860747,4114.0623845421,20.5703119227,14.7339596705,12.064677445,2,0.1333333333,51.0086845727,9.1437916322,0.0,63.7608557158,30.4793054408,0.0,0.0,0.0,0.0,0.8930976341,0.8930976341,0.0,0.0,121.7275139994,1.0,1.0
S0002_R03,S0002,15,truck_only,True,0.0174469948,,30041.2857086476,29967.9599982878,149.3636597568,76.4715311127,75.6571735331,0,0.0,73.3257103598,0.0,0.0,91.6571379497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.9548557389,0.0,0.0
S0002_R03,S0002,15,nils,True,0.9357383251,,129.58182028,0.0,0.0,0.0,0.0,2,0.1333333333,121.7463526909,7.8354675891,0.0,152.1829408637,26.1182252969,0.0,0.0,0.0,0.0,0.7520502413,0.7520502413,0.0,0.0,95.4834682224,1.0,1.0
S0002_R03,S0002,15,feasibility_aware_alns,True,10.0227692127,,5150.6753786083,5092.7603044094,25.463801522,20.4898058011,17.3866437851,3,0.2,48.8757615593,9.0393126396,0.0,61.0947019491,30.1310421319,0.0,0.0,0.0,0.0,0.8952621501,0.8952621501,0.0,0.0,116.1673869238,1.0,1.0
S0002_R04,S0002,15,truck_only,True,0.0173211098,,40294.1087757678,40212.142855028,193.2245933261,80.996062781,67.0503585761,0,0.0,81.9659207398,0.0,0.0,102.4574009248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.809712621,0.0,0.0
