method,size,feasible_runs,mean_objective,mean_priority_tardiness_cost,mean_high_priority_tardiness,mean_medium_priority_tardiness,mean_low_priority_tardiness,mean_drone_share,mean_drone_distance,mean_truck_distance,mean_total_sync_wait,mean_cpu,service_value_per_drone_customer,service_value_per_drone_km,high_priority_protection_ratio
M8 Feasibility-aware ALNS,All,720,48211.4465443761,48018.854320694794,531.8210586146447,295.26379734313224,9.566145510563057,0.1607129629625,22.43461740060667,232.3272980763956,0.0,11.014789813425278,5164.5841311648555,1133.2402875728646,0.7747740485118189
M8 Feasibility-aware ALNS,15,230,870.8478088410556,776.6416859298231,11.69261808763261,0.43818530836826086,0.0,0.31710144927391304,36.326626002180866,104.13516888822174,0.0,8.65273118952,1508.4448182540573,143.46206043750638,0.8197308255675813
M8 Feasibility-aware ALNS,50,210,26262.890621681832,26111.02573836018,249.62998560294523,59.28961118960857,0.009366715533809524,0.2033333333333333,36.745941891303815,176.05137594281757,0.0,11.520056232951905,9608.873236080379,2336.383881036803,0.7727497439859823
M8 Feasibility-aware ALNS,75,90,43192.81233274094,42916.51469237692,773.6039288210047,376.62599455048775,1.8828030043900001,0.0008888888888888889,0.9016972306822222,345.03391399352887,0.0,11.715784682168891,,,0.6187233968150844
M8 Feasibility-aware ALNS,100,190,132154.6651337762,131837.60945140442,1358.8168919572613,874.431545298783,35.34844993130631,0.0,0.0,396.3196029647606,0.0,12.983621377692103,,,0.7075244242586882
M5 NILS,All,720,43345.41898589615,43151.475420673094,435.7869345470539,478.3645938944163,229.08801475204697,0.2265972222226389,77.7598008947832,213.26953119326072,0.0,14.706656252674723,8029.992539179273,1255.8506990842316,0.9014192411256912
M5 NILS,15,230,207.36875161930567,105.47413121609434,2.6509764559852176,0.041961599614347825,0.0,0.31246376811739135,39.747353124006956,112.46301808251651,0.0,0.9636115157069565,1839.34295918412,145.29636518935922,0.939342547277901
M5 NILS,50,210,13342.370843284956,13161.93219590575,125.26043126737522,42.08283725285333,0.14677762374809525,0.18847619047619046,47.00202127236428,207.9225512468719,0.0,8.001417522203809,15076.819793052773,2592.5256805600525,0.8816874320441854
M5 NILS,75,90,39987.07150237288,39715.42887794985,550.1864088732423,471.55116612955777,94.68366299164225,0.1992592592588889,116.29201186245668,295.9437760803711,0.0,15.190957758162222,7319.13718167981,897.412921886422,0.8392685221370152
M5 NILS,100,190,130317.22391931254,130033.73101341701,1249.133689075061,1542.8202929542579,823.1106192170467,0.17773684210526314,139.51820995212998,302.0468036373284,0.0,38.52462092324105,22334.526273365875,1323.7896106575638,0.8362669697659024
M9 NILS-R,All,720,45225.185718022854,45039.667776894225,460.0546640496531,493.47798024327756,235.95580921355426,0.21565277777819444,75.72577546196875,203.50026061252805,0.0,19.87732502619375,8063.439701677131,1294.4017917960937,0.8887787644966813
M9 NILS-R,15,230,503.98270678431084,407.7620031455826,5.909471873235218,0.041961599614347825,0.0,0.27855072463913044,36.822811353040436,106.46732529102086,0.0,1.5297171354260872,1735.0962897371296,137.8864341121049,0.9158701701811114
M9 NILS-R,50,210,15189.521581011328,15017.650659237286,139.93746935611856,47.88943454114333,0.7829815794638096,0.18371428571428572,46.08136341324095,197.55814093759378,0.0,12.074723619504285,14964.09958124632,2635.6319552682876,0.8739086164559446
M9 NILS-R,75,90,46766.191522479035,46509.38967903577,615.6297581643589,531.7434060916977,126.73267998006334,0.19792592592555558,112.51520964466445,278.8091006873455,0.0,23.09625142680889,7534.9611342447215,939.2459599968887,0.8474726667496036
M9 NILS-R,100,190,131828.7417125293,131553.80962677536,1289.929646238573,1565.1621410808189,833.2516594940315,0.18321052631578943,138.15713966640945,291.85617981752426,0.0,49.186760469488426,22334.526273365875,1323.7896106575638,0.8362669697659024
M1 Truck-only,All,483,66582.18180492152,66358.68730205116,755.1888705802584,664.3980226743768,299.7079606970118,0.0,0.0,279.3681285879329,0.0,0.08525085992277433,,,0.0
M1 Truck-only,15,230,6058.677086167816,5938.9042283775925,77.03764607435913,29.214239430400433,2.2303094890452173,0.0,0.0,149.71607223778958,0.0,0.02257318393217391,,,0.0
M1 Truck-only,50,200,123313.17876281848,123042.53238851564,1188.114144695926,1091.751858620713,489.1261378356625,0.0,0.0,338.3079678785315,0.0,0.11237520217949999,,,0.0
M1 Truck-only,75,52,115308.14943227723,114814.69073094035,2021.3524833690078,1773.6361266020458,848.2481128344826,0.0,0.0,616.8233766710923,0.0,0.2564779474153846,,,0.0
M1 Truck-only,100,1,107038.5589163784,106427.5986518369,4304.4078187886,3605.5195752829,2311.8443996507,0.0,0.0,763.7003306769,0.0,0.1724393368,,,0.0
