size,available_drones,runs,mean_active_drones_used,mean_objective,mean_priority_tardiness_cost,mean_high_priority_tardiness,mean_p90_high_priority_tardiness,mean_high_priority_on_time_rate,mean_drone_share,mean_cpu,marginal_objective_improvement_vs_previous_drone,marginal_priority_tardiness_reduction_vs_previous_drone,marginal_high_priority_on_time_gain_vs_previous_drone
All,0,483,0.0000000000,66582.1818049215,66358.6873020512,755.1888705803,142.7525424674,0.2652832464,0.0000000000,0.0215664996,,,
All,1,720,0.9805555556,59734.2924718101,59550.6278815472,583.8762478935,84.7531274856,0.6282464827,0.1778750000,11.3385672457,6847.8893331114,6808.0594205040,0.3629632362
All,2,720,1.5916666667,52332.7628060388,52149.4885073108,525.1354178146,78.9876664586,0.6649740760,0.2229722222,11.4167391264,7401.5296657713,7401.1393742364,0.0367275933
All,3,720,2.0527777778,39664.9907341466,39478.4199488390,410.1014370059,66.2924237369,0.6877177499,0.2420231481,22.3223771794,12667.7720718922,12671.0685584718,0.0227436740
15,0,230,0.0000000000,6058.6770861678,5938.9042283776,77.0376460744,43.2861154665,0.4117316017,0.0000000000,0.0072834005,,,
15,1,230,0.9391304348,503.9827067843,407.7620031456,5.9094718732,4.0175016229,0.8957900433,0.2785507246,1.5525707867,5554.6943793835,5531.1422252320,0.4840584416
15,2,230,1.0695652174,494.0591018281,398.5877598847,5.5780624607,3.8229978522,0.8991991342,0.3043478261,0.5961254317,9.9236049562,9.1742432609,0.0034090909
15,3,230,1.0695652174,493.8825247838,398.5877598847,5.5780624607,3.8229978522,0.8991991342,0.3008695652,0.6661396555,0.1765770443,0.0000000000,0.0000000000
50,0,200,0.0000000000,123313.1787628185,123042.5323885156,1188.1141446959,226.1529482293,0.1406231607,0.0000000000,0.0294142115,,,
50,1,210,1.0000000000,15493.3644984971,15322.0510764453,142.0094229783,37.8680220530,0.6339617432,0.1778095238,10.5916096744,107819.8142643214,107720.4813120703,0.4933385825
50,2,210,1.6428571429,13954.3357360561,13782.3714075408,131.9860213140,35.2991202826,0.6585065946,0.2260952381,7.6182949361,1539.0287624409,1539.6796689045,0.0245448514
50,3,210,2.0714285714,13383.2000517385,13209.5373275869,127.1947326192,34.5730445268,0.6662478500,0.2511428571,5.7594821044,571.1356843176,572.8340799538,0.0077412554
75,0,52,0.0000000000,115308.1494322772,114814.6907309403,2021.3524833690,257.8962994457,0.1278536739,0.0000000000,0.0535203081,,,
75,1,90,1.0000000000,47695.2541376517,47440.3464321745,664.7626179000,115.8945253683,0.4669390895,0.1134814815,8.6869147698,67612.8952946256,67374.3442987658,0.3390854157
75,2,90,1.9444444444,46456.8436695110,46198.8381069440,629.4871139439,107.2431317300,0.5171280455,0.1697777778,9.8844152239,1238.4104681407,1241.5083252305,0.0501889559
75,3,90,2.6222222222,47141.1871399048,46883.0114696909,611.0285650152,101.9704848774,0.5447864385,0.1954074074,28.5835769971,-684.3434703938,-684.1733627469,0.0276583930
100,0,1,0.0000000000,107038.5589163784,106427.5986518369,4304.4078187886,352.4742374104,0.1250000000,0.0000000000,0.0755388737,,,
100,1,190,1.0000000000,186034.7112635257,185765.2889949541,1733.5847658737,219.5549184319,0.3885511003,0.0865789474,25.2664040791,-78996.1523471473,-79337.6903431172,0.2635511003
100,2,190,2.0000000000,160286.4694321037,160019.8058699042,1539.1770617352,204.8796485746,0.4709467129,0.1462105263,29.4394948156,25748.2418314220,25745.4831250499,0.0823956126
100,3,190,2.9526315789,112589.5868127829,112312.1753017114,1117.2979767205,160.0714347102,0.5342787630,0.1827894737,63.8783488249,47696.8826193208,47707.6305681928,0.0633320501
