lambda,method,method_label,feasible,objective,improvement_vs_truck_only_pct,drone_service_share_pct,drone_served_customers,waiting_sync_cost,runtime_seconds
0.075,truck_only,M1 Truck-only,True,453911.3529030674,,0.0,0,0.0,20.26583576202393
0.075,simple_drone,M2 Simple drone,True,382807.97584232414,15.664595433885829,10.0,8,0.0,20.43401551246643
0.075,paired_baseline,M3 Paired baseline,True,278240.72933023004,38.70152672968102,8.75,7,261.72535864969444,20.415940046310425
0.075,no_unpairing,M4 No-unpairing,True,326838.70390078647,27.995036517497564,12.5,10,0.5874640633489624,98.05345606803894
0.075,nils,M5 NILS,True,301710.226779356,33.53102431791652,12.5,10,0.0,14.871871948242188
0.075,nils_no_local_search,M6 NILS-no-local-search,True,298148.63774933794,34.315668501684854,12.5,10,0.0,2.595149278640747
0.075,nils_no_perturbation,M7 NILS-no-perturbation,True,334950.8232134467,26.207877139178912,12.5,10,0.0,2.1460649967193604
0.1,truck_only,M1 Truck-only,True,702687.46,,0.0,0,,20.31
0.1,simple_drone,M2 Simple drone,True,614438.88,12.56,8.75,7,,20.51
0.1,paired_baseline,M3 Paired baseline,True,454749.33,35.28,7.5,6,,65.97
0.1,no_unpairing,M4 No-unpairing,True,592166.4,15.73,7.5,6,,126.5
0.1,nils,M5 NILS,True,533987.51,24.01,11.25,9,,5.59
0.1,nils_no_local_search,M6 NILS-no-local-search,True,481499.42,31.48,11.25,9,,4.61
0.1,nils_no_perturbation,M7 NILS-no-perturbation,True,481107.35,31.53,10.0,8,,3.76
0.115,truck_only,M1 Truck-only,True,922221.2443098353,,0.0,0,0.0,20.229019165039062
0.115,simple_drone,M2 Simple drone,True,849658.846466846,7.868220157657817,7.5,6,0.0,20.277205228805546
0.115,paired_baseline,M3 Paired baseline,True,510708.4054301461,44.62192141189004,5.0,4,172.82680326892228,5.861804008483887
0.115,no_unpairing,M4 No-unpairing,True,500525.7853803992,45.72606210617292,10.0,8,42.29004097432003,35.66833734512329
0.115,nils,M5 NILS,True,477588.2112028696,48.213271582104646,10.0,8,0.0,2.4656436443328857
0.115,nils_no_local_search,M6 NILS-no-local-search,True,477588.2112028696,48.213271582104646,10.0,8,0.0,22.43146753311157
0.115,nils_no_perturbation,M7 NILS-no-perturbation,True,477588.2112028696,48.213271582104646,10.0,8,0.0,1.25940203666687
0.12,truck_only,M1 Truck-only,True,552234.258005924,,0.0,0,0.0,20.18348455429077
0.12,simple_drone,M2 Simple drone,True,525329.0015735055,4.872073045517211,7.5,6,0.0,20.217610836029053
0.12,paired_baseline,M3 Paired baseline,True,490496.4228008367,11.179646012548735,8.75,7,290.24437399893475,20.326826810836792
0.12,no_unpairing,M4 No-unpairing,True,509086.18822332367,7.813363469771829,10.0,8,76.91832273050545,26.86999535560608
0.12,nils,M5 NILS,True,536079.7868115231,2.9252931994355955,10.0,8,0.0,2.3164072036743164
0.12,nils_no_local_search,M6 NILS-no-local-search,True,540010.3091847912,2.21354409725913,10.0,8,0.0,2.0757570266723637
