delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost,delivery_mode_clean
21794.0,ekart,groceries,bike,same day,north,stormy,65.5,40.3,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000008,no,delivered,4,548.4,same day
10003.0,fedex,cosmetics,ev bike,same day,north,rainy,172.7,44.38,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,no,delivered,4,1096.64,same day
23845.0,ecom express,electronics,van,same day,west,foggy,9.3,34.02,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000008,no,delivered,3,248.56,same day
3490.0,xpressbees,documents,truck,same day,west,foggy,58.5,40.26,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000008,no,delivered,5,513.28,same day
14298.0,xpressbees,groceries,truck,same day,south,clear,279.5,24.81,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000008,yes,delayed,2,1571.93,same day
22283.0,delhivery,groceries,ev van,same day,east,rainy,153.7,38.1,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000008,yes,delayed,3,982.8,same day
23216.0,dhl,groceries,scooter,same day,north,rainy,133.2,16.58,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,no,delivered,5,815.74,same day
11213.0,delhivery,documents,scooter,same day,west,foggy,111.3,15.6,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000008,no,delivered,5,703.3,same day
23970.0,blue dart,groceries,van,same day,west,cold,100.9,8.12,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000008,no,delivered,5,628.86,same day
13884.0,fedex,clothing,ev bike,same day,south,cold,163.4,12.7,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000008,no,delivered,5,955.1,same day
6056.0,amazon logistics,fragile items,bike,same day,south,cold,270.7,21.15,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000008,yes,failed,2,1516.95,same day
19136.0,amazon logistics,fragile items,van,same day,north,hot,41.6,48.82,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000008,no,delivered,3,454.46,same day
18245.0,amazon logistics,electronics,ev bike,same day,south,rainy,237.5,22.71,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000008,yes,delayed,3,1355.63,same day
24314.0,amazon logistics,fragile items,van,same day,west,foggy,90.6,38.27,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000008,no,delivered,4,667.81,same day
12203.0,xpressbees,furniture,ev bike,same day,south,rainy,131.7,49.06,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,no,delivered,4,905.68,same day
9143.0,delhivery,fragile items,truck,same day,east,rainy,111.2,10.09,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,no,delivered,5,686.27,same day
6082.0,dhl,groceries,bike,same day,south,foggy,240.5,30.35,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000008,yes,failed,2,1393.55,same day
1081.0,ecom express,groceries,ev bike,same day,south,rainy,285.3,4.38,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000008,yes,delayed,3,1539.64,same day
1266.0,delhivery,groceries,van,same day,south,foggy,138.0,28.3,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000008,no,delivered,5,874.9,same day
15804.0,shadowfax,pharmacy,ev bike,same day,central,stormy,209.1,44.49,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000008,yes,delayed,3,1278.97,same day
4359.0,xpressbees,fragile items,bike,two day,north,foggy,104.5,43.92,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000016,no,delivered,3,654.26,two day
21310.0,dhl,fragile items,truck,two day,west,foggy,3.6,33.66,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000016,no,delivered,5,111.98,two day
5882.0,ecom express,documents,ev bike,two day,west,rainy,106.7,31.92,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000016,no,delivered,5,629.26,two day
5843.0,fedex,furniture,bike,two day,west,rainy,37.5,7.79,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000016,no,delivered,5,210.87,two day
