instance_id,random_seed,scenario_id,scenario_class,n,number_of_drones,number_of_trucks,endurance_level,speed_ratio,spatial_pattern,launch_retrieval_time_class,priority_weight_profile,objective_for_reporting_nils,objective_for_reporting_no_unpairing,objective_for_reporting_paired_baseline,improvement_pct_vs_no_unpairing,improvement_pct_vs_paired_baseline,nils_result_vs_no_unpairing,nils_result_vs_paired_baseline,cpu_time_seconds_nils,cpu_time_seconds_no_unpairing,cpu_time_seconds_paired_baseline,customers_served_by_drone_nils,customers_served_by_drone_no_unpairing,customers_served_by_drone_paired_baseline,drone_service_share_nils,drone_service_share_no_unpairing,drone_service_share_paired_baseline,waiting_sync_cost_nils,waiting_sync_cost_no_unpairing,waiting_sync_cost_paired_baseline
S0001_R01,102027,S0001,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.10,15,1,3,low,1.25,clustered,short,moderate,53.03779646544466,64.15233250574084,143.00708959212778,17.325225141738333,62.91247055183461,Win,Win,0.3790974617004394,1.2330574989318848,0.7950150966644287,2,0,2,0.1333333333333333,0.0,0.1333333333333333,0.0,0.0,75.54839051185493
S0001_R02,102028,S0001,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.10,15,1,3,low,1.25,clustered,short,moderate,56.1441439138403,145.88955402912129,125.25021046147528,61.51599455665395,55.17441151836689,Win,Win,0.3269202709197998,0.3321163654327392,0.4730942249298095,1,2,2,0.0666666666666666,0.1333333333333333,0.1333333333333333,0.0,56.31056374651559,0.0
S0001_R03,102029,S0001,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.10,15,1,3,low,1.25,clustered,short,moderate,110.63492575460452,160.0515944819591,160.47682460352047,30.875461683029215,31.058627295285188,Win,Win,0.4337894916534424,0.5010068416595459,0.5821900367736816,1,4,2,0.0666666666666666,0.2666666666666666,0.1333333333333333,0.0,42.49514342836933,40.980573237032566
S0001_R04,102030,S0001,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.10,15,1,3,low,1.25,clustered,short,moderate,57.61776809891522,141.13508247675503,121.18672773328696,59.17544590062866,52.45538090134514,Win,Win,0.4482090473175049,0.4018723964691162,0.5293161869049072,1,1,1,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0,54.809133737583934,0.0
S0001_R05,102031,S0001,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.10,15,1,3,low,1.25,clustered,short,moderate,120.68266230599144,139.08671512090442,159.3842898626297,13.232070941437373,24.281958773976072,Win,Win,0.9061577320098876,0.5234861373901367,1.0746231079101562,2,3,3,0.1333333333333333,0.2,0.2,0.0,49.52376890030427,37.944033794884014
S0001_R06,102032,S0001,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.10,15,1,3,low,1.25,clustered,short,moderate,51.94468889233459,140.48106483905244,82.89098695003584,63.02370789127556,37.33373095962138,Win,Win,0.4188220500946045,1.135650873184204,0.566652774810791,2,2,2,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.0,88.53637594671784,0.0
S0001_R07,102033,S0001,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.10,15,1,3,low,1.25,clustered,short,moderate,84.80818324004568,125.3421869728375,120.1134711894686,32.338675997073366,29.393279204904406,Win,Win,0.4054708480834961,0.3675422668457031,0.7582156658172607,0,1,3,0.0,0.0666666666666666,0.2,0.0,67.53321199792342,32.54593606521647
S0001_R08,102034,S0001,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.10,15,1,3,low,1.25,clustered,short,moderate,127.12462838406373,172.15098645998108,119.92804344272167,26.15515542595184,-6.000752396814664,Win,Loss,0.7317497730255127,0.4670042991638183,0.5650830268859863,1,1,1,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0,83.34842656787828,0.0
S0001_R09,102035,S0001,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.10,15,1,3,low,1.25,clustered,short,moderate,64.9874093857662,64.9874093857662,121.56073523794132,0.0,46.53914419112328,Tie,Win,0.3638031482696533,0.8607578277587891,0.5428555011749268,0,0,1,0.0,0.0,0.0666666666666666,0.0,0.0,0.0
S0001_R10,102036,S0001,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.10,15,1,3,low,1.25,clustered,short,moderate,117.46324412447456,181.4002057471432,115.27534077376072,35.24635562530256,-1.897980379869634,Win,Loss,0.3716058731079101,0.5357046127319336,0.5878264904022217,1,2,2,0.0666666666666666,0.1333333333333333,0.1333333333333333,0.0,62.359620014473634,0.0
