model,rho,selected_y_json,probability_sum,probability_sum_error,minimum_probability,maximum_probability,regime_masses_json
M0,0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]",1.0,0.0,1.5696147834183688e-06,0.24135321040188695,"{""central"": 0.10000000000000002, ""normal"": 0.7000000000000002, ""north"": 0.14999999999999994, ""widespread"": 0.05000000000000001}"
M0,0.1,"[0.25, 1.0, 1.0, 0.0, 0.0]",1.0,0.0,1.5696147834183688e-06,0.24135321040188695,"{""central"": 0.10000000000000002, ""normal"": 0.7000000000000002, ""north"": 0.14999999999999994, ""widespread"": 0.05000000000000001}"
M0,0.25,"[0.25, 1.0, 1.0, 0.0, 0.0]",1.0,0.0,1.5696147834183688e-06,0.24135321040188695,"{""central"": 0.10000000000000002, ""normal"": 0.7000000000000002, ""north"": 0.14999999999999994, ""widespread"": 0.05000000000000001}"
M1,0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]",1.0,0.0,6.463243790709358e-06,0.32064617727350964,"{""central"": 0.1, ""normal"": 0.7000000000000002, ""north"": 0.15, ""widespread"": 0.05000000000000001}"
M1,0.1,"[0.25, 1.0, 1.0, 0.0, 0.0]",1.0,0.0,6.463243790709358e-06,0.32064617727350964,"{""central"": 0.1, ""normal"": 0.7000000000000002, ""north"": 0.15, ""widespread"": 0.05000000000000001}"
M1,0.25,"[0.25, 1.0, 1.0, 0.0, 0.0]",1.0,0.0,6.463243790709358e-06,0.32064617727350964,"{""central"": 0.1, ""normal"": 0.7000000000000002, ""north"": 0.15, ""widespread"": 0.05000000000000001}"
M2,0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]",1.0,0.0,1.5696147834183688e-06,0.24135321040188695,"{""central"": 0.10000000000000002, ""normal"": 0.7000000000000002, ""north"": 0.14999999999999994, ""widespread"": 0.05000000000000001}"
M2,0.1,"[0.25, 1.0, 1.0, 0.0, 0.0]",1.0,0.0,1.5696147834183688e-06,0.24135321040188695,"{""central"": 0.10000000000000002, ""normal"": 0.7000000000000002, ""north"": 0.14999999999999994, ""widespread"": 0.05000000000000001}"
M2,0.25,"[0.0, 1.0, 1.0, 0.0, 0.25]",1.0,0.0,1.5696147834183685e-06,0.2647602141441581,"{""central"": 0.10000000000000002, ""normal"": 0.6999999999999998, ""north"": 0.14999999999999997, ""widespread"": 0.05000000000000001}"
M3,0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]",1.0,0.0,3.2316218953546785e-07,0.2244523240914567,"{""central__central"": 0.010000000000000004, ""central__normal"": 0.07000000000000002, ""central__north"": 0.015000000000000001, ""central__widespread"": 0.005000000000000002, ""normal__central"": 0.06999999999999999, ""normal__normal"": 0.48999999999999994, ""normal__north"": 0.10500000000000004, ""normal__widespread"": 0.034999999999999996, ""north__central"": 0.015000000000000001, ""north__normal"": 0.10499999999999998, ""north__north"": 0.022500000000000003, ""north__widespread"": 0.007500000000000001, ""widespread__central"": 0.004999999999999999, ""widespread__normal"": 0.034999999999999976, ""widespread__north"": 0.0075, ""widespread__widespread"": 0.0024999999999999996}"
M3,0.1,"[0.25, 1.0, 1.0, 0.0, 0.0]",1.0,0.0,3.2316218953546785e-07,0.2244523240914567,"{""central__central"": 0.010000000000000004, ""central__normal"": 0.07000000000000002, ""central__north"": 0.015000000000000001, ""central__widespread"": 0.005000000000000002, ""normal__central"": 0.06999999999999999, ""normal__normal"": 0.48999999999999994, ""normal__north"": 0.10500000000000004, ""normal__widespread"": 0.034999999999999996, ""north__central"": 0.015000000000000001, ""north__normal"": 0.10499999999999998, ""north__north"": 0.022500000000000003, ""north__widespread"": 0.007500000000000001, ""widespread__central"": 0.004999999999999999, ""widespread__normal"": 0.034999999999999976, ""widespread__north"": 0.0075, ""widespread__widespread"": 0.0024999999999999996}"
M3,0.25,"[0.0, 1.0, 1.0, 0.0, 0.25]",1.0,0.0,3.2316218953546796e-07,0.23680082617272205,"{""central__central"": 0.010000000000000007, ""central__normal"": 0.06999999999999999, ""central__north"": 0.01500000000000001, ""central__widespread"": 0.005000000000000004, ""normal__central"": 0.07000000000000002, ""normal__normal"": 0.49, ""normal__north"": 0.10500000000000001, ""normal__widespread"": 0.03500000000000001, ""north__central"": 0.015000000000000003, ""north__normal"": 0.105, ""north__north"": 0.022500000000000013, ""north__widespread"": 0.0075000000000000015, ""widespread__central"": 0.005000000000000003, ""widespread__normal"": 0.03499999999999999, ""widespread__north"": 0.007500000000000002, ""widespread__widespread"": 0.0025000000000000014}"
M4,0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]",1.0,0.0,6.463243790709358e-06,0.32064617727350964,"{""central"": 0.1, ""normal"": 0.7000000000000002, ""north"": 0.15, ""widespread"": 0.05000000000000001}"
M4,0.1,"[0.25, 1.0, 1.0, 0.0, 0.0]",1.0,0.0,6.463243790709358e-06,0.32064617727350964,"{""central"": 0.1, ""normal"": 0.7000000000000002, ""north"": 0.15, ""widespread"": 0.05000000000000001}"
M4,0.25,"[0.0, 1.0, 1.0, 0.0, 0.25]",1.0,0.0,6.463243790709359e-06,0.3382868945324601,"{""central"": 0.09999999999999999, ""normal"": 0.7000000000000002, ""north"": 0.15000000000000005, ""widespread"": 0.05}"
