rho,selected_y_json,center_id,capacity_minimum,capacity_maximum,range_width,objective_equivalence_tolerance,minimum_iterations,maximum_iterations,scope
0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17201,0.0,1.1170733671406197e-07,1.1170733671406197e-07,9.115332829583577e-08,1,1,selected y fixed; z and w reoptimized
0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17202,0.0,2.036155977469198e-07,2.036155977469198e-07,9.115332829583577e-08,1,1,selected y fixed; z and w reoptimized
0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17204,0.0,1.017761283607418e-06,1.017761283607418e-06,9.115332829583577e-08,1,1,selected y fixed; z and w reoptimized
0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17205,550.7314957374858,550.7314981600649,2.4225790866694297e-06,9.115332829583577e-08,1,1,selected y fixed; z and w reoptimized
0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17461,0.0,4.947980689453416e-07,4.947980689453416e-07,9.115332829583577e-08,1,1,selected y fixed; z and w reoptimized
0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17463,82.5985018399553,82.59850426250972,2.422554416625644e-06,9.115332829583577e-08,1,1,selected y fixed; z and w reoptimized
0.05,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17201,0.0,1.1256510390467156e-07,1.1256510390467156e-07,9.277081811182107e-08,1,1,selected y fixed; z and w reoptimized
0.05,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17202,0.0,2.0083601983984693e-07,2.0083601983984693e-07,9.277081811182107e-08,1,1,selected y fixed; z and w reoptimized
0.05,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17204,0.0,1.0413494963350105e-06,1.0413494963350105e-06,9.277081811182107e-08,1,1,selected y fixed; z and w reoptimized
0.05,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17205,550.7314957077836,550.7314981836287,2.4758451218076516e-06,9.277081811182107e-08,1,1,selected y fixed; z and w reoptimized
0.05,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17461,0.0,5.014486113856625e-07,5.014486113856625e-07,9.277081811182107e-08,1,1,selected y fixed; z and w reoptimized
0.05,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17463,82.59850181637098,82.59850429221599,2.475845008120814e-06,9.277081811182107e-08,1,1,selected y fixed; z and w reoptimized
0.1,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17201,0.0,1.1371231067869303e-07,1.1371231067869303e-07,9.371267551597515e-08,1,1,selected y fixed; z and w reoptimized
0.1,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17202,0.0,2.011712362249341e-07,2.011712362249341e-07,9.371267551597515e-08,1,1,selected y fixed; z and w reoptimized
0.1,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17204,0.0,1.1298218619694383e-06,1.1298218619694383e-06,9.371267551597515e-08,1,1,selected y fixed; z and w reoptimized
0.1,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17205,550.7314957493371,550.7314982721531,2.5228159756807145e-06,9.371267551597515e-08,1,1,selected y fixed; z and w reoptimized
0.1,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17461,0.0,4.960161022779977e-07,4.960161022779977e-07,9.371267551597515e-08,1,1,selected y fixed; z and w reoptimized
0.1,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17463,82.59850172785299,82.59850425067611,2.5228231237406362e-06,9.371267551597515e-08,1,1,selected y fixed; z and w reoptimized
0.15,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17201,0.0,1.1339135852495019e-07,1.1339135852495019e-07,9.394972657134642e-08,1,1,selected y fixed; z and w reoptimized
0.15,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17202,0.0,2.005585056870558e-07,2.005585056870558e-07,9.394972657134642e-08,1,1,selected y fixed; z and w reoptimized
0.15,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17204,0.0,1.098213467585593e-06,1.098213467585593e-06,9.394972657134642e-08,1,1,selected y fixed; z and w reoptimized
0.15,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17205,550.731495780623,550.7314982405275,2.4599044081696775e-06,9.394972657134642e-08,1,1,selected y fixed; z and w reoptimized
0.15,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17461,0.0,4.905087612273351e-07,4.905087612273351e-07,9.394972657134642e-08,1,1,selected y fixed; z and w reoptimized
0.15,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17463,82.598501759477,82.59850421940996,2.4599329577768003e-06,9.394972657134642e-08,1,1,selected y fixed; z and w reoptimized
0.2,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17201,0.0,1.133980447320937e-07,1.133980447320937e-07,9.414908148781016e-08,1,1,selected y fixed; z and w reoptimized
0.2,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17202,0.0,2.0092201216962496e-07,2.0092201216962496e-07,9.414908148781016e-08,1,1,selected y fixed; z and w reoptimized
0.2,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17204,0.0,1.098775432459442e-06,1.098775432459442e-06,9.414908148781016e-08,1,1,selected y fixed; z and w reoptimized
0.2,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17205,550.7314957915786,550.731498241053,2.4494744366165833e-06,9.414908148781016e-08,1,1,selected y fixed; z and w reoptimized
0.2,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17461,0.0,4.911919902568101e-07,4.911919902568101e-07,9.414908148781016e-08,1,1,selected y fixed; z and w reoptimized
0.2,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17463,82.59850175889135,82.598504208498,2.4496066544088535e-06,9.414908148781016e-08,1,1,selected y fixed; z and w reoptimized
0.25,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17201,0.0,1.1255980325586279e-07,1.1255980325586279e-07,9.415807118957248e-08,1,1,selected y fixed; z and w reoptimized
0.25,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17202,0.0,1.9829381152676435e-07,1.9829381152676435e-07,9.415807118957248e-08,1,1,selected y fixed; z and w reoptimized
0.25,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17204,0.0,1.024165820172026e-06,1.024165820172026e-06,9.415807118957248e-08,1,1,selected y fixed; z and w reoptimized
0.25,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17205,550.7314958306681,550.7314981664608,2.3357927148026647e-06,9.415807118957248e-08,1,1,selected y fixed; z and w reoptimized
0.25,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17461,0.0,4.757203917106879e-07,4.757203917106879e-07,9.415807118957248e-08,1,1,selected y fixed; z and w reoptimized
0.25,"[0.25, 1.0, 1.0, 0.0, 0.0]",center_17463,82.59850183355293,82.59850416939867,2.335845735501607e-06,9.415807118957248e-08,1,1,selected y fixed; z and w reoptimized
