rho,epsilon_fraction,scenario,status,robust_optimum,admissible_near_optimal_count,operationally_feasible_count,selected_objective,robust_loss_sacrifice,robust_loss_sacrifice_percent,selected_y_json,criticality_score,minimum_active_links,minimum_northern_branch_coverage,maximum_single_corridor_spend_share,metric_definition
0.0,0.001,coverage_balanced,infeasible,911.5332829583576,1,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,1.5,0.6,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.05,0.001,coverage_balanced,infeasible,927.7081811182109,1,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,1.5,0.6,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.1,0.001,coverage_balanced,infeasible,937.1267551597514,1,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,1.5,0.6,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.15,0.001,coverage_balanced,infeasible,939.4972657134642,1,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,1.5,0.6,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.2,0.001,coverage_balanced,infeasible,941.4908148781016,1,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,1.5,0.6,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.25,0.001,coverage_balanced,infeasible,941.5807118957248,1,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,1.5,0.6,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.0,0.005,coverage_balanced,feasible,911.5332829583576,5,1,913.4183305539917,1.8850475956340915,0.20679964526542083,"[0.0, 1.0, 1.0, 0.5, 0.0]",0.6994844447501051,3,1.5,0.6,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.05,0.005,coverage_balanced,feasible,927.7081811182109,5,1,929.6635409912617,1.9553598730508384,0.21077316260098566,"[0.0, 1.0, 1.0, 0.5, 0.0]",0.6994844447501051,3,1.5,0.6,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.1,0.005,coverage_balanced,feasible,937.1267551597514,5,1,939.1301721091022,2.0034169493508216,0.21378292086104977,"[0.0, 1.0, 1.0, 0.5, 0.0]",0.6994844447501051,3,1.5,0.6,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.15,0.005,coverage_balanced,feasible,939.4972657134642,5,1,941.8077984435034,2.310532730039199,0.2459328849972353,"[0.0, 1.0, 1.0, 0.5, 0.0]",0.6994844447501051,3,1.5,0.6,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.2,0.005,coverage_balanced,feasible,941.4908148781016,5,1,944.4591529194997,2.9683380413981695,0.31528061607084545,"[0.0, 1.0, 1.0, 0.5, 0.0]",0.6994844447501051,3,1.5,0.6,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.25,0.005,coverage_balanced,feasible,941.5807118957248,5,1,945.5637543252818,3.983042429557031,0.42301656982095537,"[0.0, 1.0, 1.0, 0.5, 0.0]",0.6994844447501051,3,1.5,0.6,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.0,0.01,coverage_balanced,feasible,911.5332829583576,5,1,913.4183305539917,1.8850475956340915,0.20679964526542083,"[0.0, 1.0, 1.0, 0.5, 0.0]",0.6994844447501051,3,1.5,0.6,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
