rho_selected,plan_y_json,plan_z_json,plan_w_json,segment_index,rho_start,rho_end,source_state,target_state,value_slope,value_start,value_end,terminal_radius,terminal_value,profile_value_at_selected_rho,fixed_y_objective,profile_match_error,interpretation
0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373847, 0.0, 0.0]","[0.0, 0.0, 0.0, 550.7314971423075, 0.0, 82.59850285769242]",1,0.0,3.139229566836736e-05,intact,fail__corr_kanazawa_nanao__corr_nanao_anamizu__corr_anamizu_wajima__corr_anamizu_noto__corr_anamizu_suzu,496.6515173784669,911.5332829583576,911.5488739896354,0.44756386225407363,941.9359199358672,911.5332829583576,911.5332829583576,0.0,Fixed complete plan; this profile does not assert reoptimized values between reported radii.
0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373847, 0.0, 0.0]","[0.0, 0.0, 0.0, 550.7314971423075, 0.0, 82.59850285769242]",2,3.139229566836736e-05,8.351835418526787e-05,intact,fail__corr_kanazawa_nanao__corr_nanao_anamizu__corr_anamizu_wajima__corr_anamizu_noto,496.651517378466,911.5488739896354,911.5747624756928,0.44756386225407363,941.9359199358672,911.5332829583576,911.5332829583576,0.0,Fixed complete plan; this profile does not assert reoptimized values between reported radii.
0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373847, 0.0, 0.0]","[0.0, 0.0, 0.0, 550.7314971423075, 0.0, 82.59850285769242]",3,8.351835418526787e-05,0.00015155866923118624,intact,fail__corr_kanazawa_nanao__corr_nanao_anamizu__corr_anamizu_wajima__corr_anamizu_suzu,494.81611993530123,911.5747624756928,911.608429920383,0.44756386225407363,941.9359199358672,911.5332829583576,911.5332829583576,0.0,Fixed complete plan; this profile does not assert reoptimized values between reported radii.
0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373847, 0.0, 0.0]","[0.0, 0.0, 0.0, 550.7314971423075, 0.0, 82.59850285769242]",4,0.00015155866923118624,0.00026453777343750005,intact,fail__corr_kanazawa_nanao__corr_nanao_anamizu__corr_anamizu_wajima,494.8161199353003,911.608429920383,911.66433380236,0.44756386225407363,941.9359199358672,911.5332829583576,911.5332829583576,0.0,Fixed complete plan; this profile does not assert reoptimized values between reported radii.
0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373847, 0.0, 0.0]","[0.0, 0.0, 0.0, 550.7314971423075, 0.0, 82.59850285769242]",5,0.00026453777343750005,0.0005331913145038267,intact,fail__corr_nanao_anamizu__corr_anamizu_wajima__corr_anamizu_noto__corr_anamizu_suzu,473.58326553087,911.66433380236,911.7915636236346,0.44756386225407363,941.9359199358672,911.5332829583576,911.5332829583576,0.0,Fixed complete plan; this profile does not assert reoptimized values between reported radii.
0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373847, 0.0, 0.0]","[0.0, 0.0, 0.0, 550.7314971423075, 0.0, 82.59850285769242]",6,0.0005331913145038267,0.0009792832585379468,intact,fail__corr_nanao_anamizu__corr_anamizu_wajima__corr_anamizu_noto,473.5832655308691,911.7915636236346,912.0028253032173,0.44756386225407363,941.9359199358672,911.5332829583576,911.5332829583576,0.0,Fixed complete plan; this profile does not assert reoptimized values between reported radii.
0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373847, 0.0, 0.0]","[0.0, 0.0, 0.0, 550.7314971423075, 0.0, 82.59850285769242]",7,0.0009792832585379468,0.0015615685353287632,intact,fail__corr_nanao_anamizu__corr_anamizu_wajima__corr_anamizu_suzu,471.48566845296637,912.0028253032173,912.2773644661753,0.44756386225407363,941.9359199358672,911.5332829583576,911.5332829583576,0.0,Fixed complete plan; this profile does not assert reoptimized values between reported radii.
0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373847, 0.0, 0.0]","[0.0, 0.0, 0.0, 550.7314971423075, 0.0, 82.59850285769242]",8,0.0015615685353287632,0.0025284375000000007,intact,fail__corr_nanao_anamizu__corr_anamizu_wajima,471.48566845296546,912.2773644661753,912.7332293262897,0.44756386225407363,941.9359199358672,911.5332829583576,911.5332829583576,0.0,Fixed complete plan; this profile does not assert reoptimized values between reported radii.
0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373847, 0.0, 0.0]","[0.0, 0.0, 0.0, 550.7314971423075, 0.0, 82.59850285769242]",9,0.0025284375000000007,0.0030743747798418378,intact,fail__corr_kanazawa_nanao__corr_nanao_anamizu__corr_anamizu_noto__corr_anamizu_suzu,349.3414572985937,912.7332293262897,912.9239478512233,0.44756386225407363,941.9359199358672,911.5332829583576,911.5332829583576,0.0,Fixed complete plan; this profile does not assert reoptimized values between reported radii.
0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373847, 0.0, 0.0]","[0.0, 0.0, 0.0, 550.7314971423075, 0.0, 82.59850285769242]",10,0.0030743747798418378,0.0039808888779575904,intact,fail__corr_kanazawa_nanao__corr_nanao_anamizu__corr_anamizu_noto,349.34145729859256,912.9239478512233,913.2406308073207,0.44756386225407363,941.9359199358672,911.5332829583576,911.5332829583576,0.0,Fixed complete plan; this profile does not assert reoptimized values between reported radii.
