rho,heuristic,objective,gap_to_grid_optimum,gap_percent,selected_y_json,retrofit_budget_used,scores_json
0.0,least_cost_first,913.4183305539917,1.8850475956340915,0.2067996452654168,"[0.0, 1.0, 1.0, 0.5, 0.0]",2.2252036969484017,"[0.6705234744478288, 1.089381379600765, 1.2113202800498688, 1.0379774496713028, 0.7873135661213866]"
0.0,baseline_failure_per_cost,913.4183305539917,1.8850475956340915,0.2067996452654168,"[0.0, 1.0, 1.0, 0.5, 0.0]",2.2252036969484017,"[0.09052066905045689, 0.5065623415143556, 0.658655402277116, 0.32770430911051135, 0.2959299245357847]"
0.0,failure_delay_per_cost,913.7509052219657,2.217622263608064,0.24328483721524993,"[0.0, 1.0, 1.0, 0.0, 0.25]",2.0610331548543557,"[0.07543389087538074, 14.18374556240196, 9.87983103415674, 2.949338781994602, 3.5511590944294165]"
0.05,least_cost_first,929.6635409912617,1.9553598730508384,0.21077316260097545,"[0.0, 1.0, 1.0, 0.5, 0.0]",2.2252036969484017,"[0.6705234744478288, 1.089381379600765, 1.2113202800498688, 1.0379774496713028, 0.7873135661213866]"
0.05,baseline_failure_per_cost,929.6635409912617,1.9553598730508384,0.21077316260097545,"[0.0, 1.0, 1.0, 0.5, 0.0]",2.2252036969484017,"[0.09052066905045689, 0.5065623415143556, 0.658655402277116, 0.32770430911051135, 0.2959299245357847]"
0.05,failure_delay_per_cost,930.0073179481938,2.299136829982899,0.24782974611818556,"[0.0, 1.0, 1.0, 0.0, 0.25]",2.0610331548543557,"[0.07543389087538074, 14.18374556240196, 9.87983103415674, 2.949338781994602, 3.5511590944294165]"
0.1,least_cost_first,939.1301721091022,2.0034169493508216,0.21378292086104195,"[0.0, 1.0, 1.0, 0.5, 0.0]",2.2252036969484017,"[0.6705234744478288, 1.089381379600765, 1.2113202800498688, 1.0379774496713028, 0.7873135661213866]"
0.1,baseline_failure_per_cost,939.1301721091022,2.0034169493508216,0.21378292086104195,"[0.0, 1.0, 1.0, 0.5, 0.0]",2.2252036969484017,"[0.09052066905045689, 0.5065623415143556, 0.658655402277116, 0.32770430911051135, 0.2959299245357847]"
0.1,failure_delay_per_cost,939.4953759961955,2.3686208364441654,0.2527535174300288,"[0.0, 1.0, 1.0, 0.0, 0.25]",2.0610331548543557,"[0.07543389087538074, 14.18374556240196, 9.87983103415674, 2.949338781994602, 3.5511590944294165]"
0.15,least_cost_first,941.8077984435034,2.310532730039199,0.24593288499722837,"[0.0, 1.0, 1.0, 0.5, 0.0]",2.2252036969484017,"[0.6705234744478288, 1.089381379600765, 1.2113202800498688, 1.0379774496713028, 0.7873135661213866]"
0.15,baseline_failure_per_cost,941.8077984435034,2.310532730039199,0.24593288499722837,"[0.0, 1.0, 1.0, 0.5, 0.0]",2.2252036969484017,"[0.09052066905045689, 0.5065623415143556, 0.658655402277116, 0.32770430911051135, 0.2959299245357847]"
0.15,failure_delay_per_cost,942.2128521020837,2.7155863886194993,0.28904675806131847,"[0.0, 1.0, 1.0, 0.0, 0.25]",2.0610331548543557,"[0.07543389087538074, 14.18374556240196, 9.87983103415674, 2.949338781994602, 3.5511590944294165]"
0.2,least_cost_first,944.4591529194997,2.9683380413981695,0.31528061607085267,"[0.0, 1.0, 1.0, 0.5, 0.0]",2.2252036969484017,"[0.6705234744478288, 1.089381379600765, 1.2113202800498688, 1.0379774496713028, 0.7873135661213866]"
0.2,baseline_failure_per_cost,944.4591529194997,2.9683380413981695,0.31528061607085267,"[0.0, 1.0, 1.0, 0.5, 0.0]",2.2252036969484017,"[0.09052066905045689, 0.5065623415143556, 0.658655402277116, 0.32770430911051135, 0.2959299245357847]"
0.2,failure_delay_per_cost,944.8642065780822,3.3733916999806297,0.3583031981482895,"[0.0, 1.0, 1.0, 0.0, 0.25]",2.0610331548543557,"[0.07543389087538074, 14.18374556240196, 9.87983103415674, 2.949338781994602, 3.5511590944294165]"
0.25,least_cost_first,945.5637543252818,3.983042429557031,0.42301656982095576,"[0.0, 1.0, 1.0, 0.5, 0.0]",2.2252036969484017,"[0.6705234744478288, 1.089381379600765, 1.2113202800498688, 1.0379774496713028, 0.7873135661213866]"
0.25,baseline_failure_per_cost,945.5637543252818,3.983042429557031,0.42301656982095576,"[0.0, 1.0, 1.0, 0.5, 0.0]",2.2252036969484017,"[0.09052066905045689, 0.5065623415143556, 0.658655402277116, 0.32770430911051135, 0.2959299245357847]"
0.25,failure_delay_per_cost,945.9822611729841,4.401549277259278,0.46746383200622815,"[0.0, 1.0, 1.0, 0.0, 0.25]",2.0610331548543557,"[0.07543389087538074, 14.18374556240196, 9.87983103415674, 2.949338781994602, 3.5511590944294165]"
