rho,threshold_percent,near_optimal_policy_count,share_of_feasible_candidates,feasible_evaluated_candidates
0.0,0.01,1,0.001004016064257028,996
0.0,0.05,1,0.001004016064257028,996
0.0,0.1,1,0.001004016064257028,996
0.0,0.5,5,0.0050200803212851405,996
0.05,0.01,1,0.001004016064257028,996
0.05,0.05,1,0.001004016064257028,996
0.05,0.1,1,0.001004016064257028,996
0.05,0.5,5,0.0050200803212851405,996
0.1,0.01,1,0.001004016064257028,996
0.1,0.05,1,0.001004016064257028,996
0.1,0.1,1,0.001004016064257028,996
0.1,0.5,5,0.0050200803212851405,996
0.15,0.01,1,0.001004016064257028,996
0.15,0.05,1,0.001004016064257028,996
0.15,0.1,1,0.001004016064257028,996
0.15,0.5,5,0.0050200803212851405,996
0.2,0.01,1,0.001004016064257028,996
0.2,0.05,1,0.001004016064257028,996
0.2,0.1,1,0.001004016064257028,996
0.2,0.5,5,0.0050200803212851405,996
0.25,0.01,1,0.001004016064257028,996
0.25,0.05,1,0.001004016064257028,996
0.25,0.1,1,0.001004016064257028,996
0.25,0.5,5,0.0050200803212851405,996
