rho,comparison,objective,gap_to_best,reduction_from_no_investment
0.0,no investment,2222.98835817266,1311.4550752143023,0.0
0.0,exposure and capacity; no road retrofit,1245.618575762247,334.0852928038894,977.3697824104129
0.0,practical all-sector grid optimum,911.5332829583576,0.0,1311.4550752143023
0.05,no investment,2252.464945408696,1324.7567642904853,0.0
0.05,exposure and capacity; no road retrofit,1273.1965571212168,345.4883760030059,979.2683882874794
0.05,practical all-sector grid optimum,927.7081811182109,0.0,1324.7567642904853
0.1,no investment,2281.7516272194134,1344.624872059662,0.0
0.1,exposure and capacity; no road retrofit,1299.7679970165705,362.6412418568191,981.983630202843
0.1,practical all-sector grid optimum,937.1267551597514,0.0,1344.624872059662
0.15,no investment,2310.844820479979,1371.3475547665146,0.0
0.15,exposure and capacity; no road retrofit,1325.1858867036592,385.688620990195,985.6589337763196
0.15,practical all-sector grid optimum,939.4972657134642,0.0,1371.3475547665146
0.2,no investment,2339.7128536606747,1398.2220387825732,0.0
0.2,exposure and capacity; no road retrofit,1345.852724611088,404.3619097329864,993.8601290495867
0.2,practical all-sector grid optimum,941.4908148781016,0.0,1398.2220387825732
0.25,no investment,2365.656307858664,1424.0755959629394,0.0
0.25,exposure and capacity; no road retrofit,1363.5397051148198,421.95899321909496,1002.1166027438444
0.25,practical all-sector grid optimum,941.5807118957248,0.0,1424.0755959629394
