setting,parameters_json,rho,A,B,D_A_minus_B,preferred,near_tie_0p01_percent
design_S1,"{""design"": ""S1""}",0.0,1070.533561234943,1072.050439113442,-1.5168778784991446,A,False
design_S1,"{""design"": ""S1""}",0.1,1156.9557101173436,1158.5727789285106,-1.6170688111669733,A,False
design_S1,"{""design"": ""S1""}",0.25,1221.614288846521,1218.113282789605,3.5010060569161396,B,False
design_S2,{},0.0,1074.3696827675963,1074.772958718862,-0.4032759512656412,A,False
design_S2,{},0.1,1160.0573986231677,1159.9644819241444,0.09291669902336253,B,True
design_S2,{},0.25,1223.9908396199794,1219.5996345723133,4.3912050476660625,B,False
facility_base,{},0.0,1074.3696827675963,1074.772958718862,-0.4032759512656412,A,False
facility_base,{},0.1,1160.0573986231677,1159.9644819241444,0.09291669902336253,B,True
facility_base,{},0.25,1223.9908396199794,1219.5996345723133,4.3912050476660625,B,False
facility_mild,"{""facility"": ""mild""}",0.0,1016.9550627213881,1008.4202962595521,8.534766461836057,B,False
facility_mild,"{""facility"": ""mild""}",0.1,1049.940666281313,1040.7499353023672,9.190730978945794,B,False
facility_mild,"{""facility"": ""mild""}",0.25,1073.7332262754471,1061.1368779352458,12.596348340201303,B,False
intensity_0.75,"{""intensity"": 0.75}",0.0,1074.321426969002,1074.8735684441597,-0.5521414751576685,A,False
intensity_0.75,"{""intensity"": 0.75}",0.1,1160.0735472922538,1160.0682134629474,0.00533382930643711,B,True
intensity_0.75,"{""intensity"": 0.75}",0.25,1223.6556626087677,1219.4562677526465,4.199394856121216,B,False
intensity_1.00,"{""intensity"": 1}",0.0,1074.3696827675963,1074.772958718862,-0.4032759512656412,A,False
intensity_1.00,"{""intensity"": 1}",0.1,1160.0573986231677,1159.9644819241444,0.09291669902336253,B,True
intensity_1.00,"{""intensity"": 1}",0.25,1223.9908396199794,1219.5996345723133,4.3912050476660625,B,False
intensity_1.25,"{""intensity"": 1.25}",0.0,1074.3867669520891,1074.6537867397565,-0.2670197876673228,A,False
intensity_1.25,"{""intensity"": 1.25}",0.1,1160.0298819190577,1159.85438689366,0.17549502539782225,B,False
intensity_1.25,"{""intensity"": 1.25}",0.25,1224.3065525388151,1219.7328266672775,4.57372587153759,B,False
residual_0.05,"{""residual"": 0.05}",0.0,1062.2122187907094,1062.6056360532714,-0.3934172625620249,A,False
