rho,rank,objective,gap,gap_percent,y_json,z_json,w_json
0.0,1,1070.808480778403,0.0,0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223963, 0.0, 96.98202567760372]"
0.0,2,1072.6316510649256,1.8231702865225543,0.17026109890325714,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223968, 0.0, 96.9820256776032]"
0.0,3,1072.8106896193367,2.0022088409336902,0.18698104066920962,"[0.0, 1.0, 1.0, 0.5, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223966, 0.0, 96.98202567760342]"
0.0,4,1072.931420735763,2.122939957359904,0.19825580348566962,"[0.0, 1.0, 1.0, 0.25, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.347974322397, 0.0, 96.982025677603]"
0.0,5,1073.0737407075203,2.265259929117292,0.21154669296890027,"[0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223971, 0.0, 96.98202567760286]"
0.0,6,1097.647834474727,26.839353696323997,2.5064569601478848,"[0.5, 1.0, 0.75, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223962, 0.0, 96.98202567760383]"
0.0,7,1098.6872821418863,27.878801363483262,2.6035282558854345,"[0.25, 1.0, 0.75, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223969, 0.0, 96.9820256776031]"
0.0,8,1099.2345906736064,28.426109895203354,2.6546399664802323,"[0.25, 1.0, 0.75, 0.25, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223967, 0.0, 96.98202567760339]"
0.0,9,1099.417697011755,28.609216233352072,2.6717397879175486,"[0.25, 1.0, 0.75, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223972, 0.0, 96.98202567760273]"
0.0,10,1100.170016698742,29.361535920339065,2.7419969534603794,"[0.0, 1.0, 0.75, 0.0, 0.5]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223972, 0.0, 96.98202567760283]"
0.025,1,1097.391425585094,0.0,0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223971, 0.0, 96.98202567760289]"
0.025,2,1099.4599060697183,2.0684804846241605,0.18849067309973933,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223971, 0.0, 96.98202567760288]"
