rho,rank,objective,gap,gap_percent,y_json
0.0,1,1074.3696827675963,0.0,0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]"
0.0,2,1074.772958718862,0.4032759512656412,0.03753605092680079,"[0.0, 1.0, 1.0, 0.0, 0.25]"
0.0,3,1076.206229157699,1.8365463901027397,0.17094175492478048,"[0.0, 1.0, 1.0, 0.0, 0.0]"
0.0,4,1076.6187582276132,2.249075460016911,0.20933906606739328,"[0.0, 1.0, 1.0, 0.25, 0.0]"
0.0,5,1077.0626934389945,2.6930106713982696,0.2506595927447508,"[0.0, 1.0, 1.0, 0.5, 0.0]"
0.0,6,1101.260681630044,26.89099886244776,2.502955853442934,"[0.25, 1.0, 0.75, 0.0, 0.25]"
0.0,7,1101.3381481741048,26.968465406508585,2.5101662713561845,"[0.5, 1.0, 0.75, 0.0, 0.0]"
0.0,8,1101.863945639635,27.49426287203869,2.5591063591084318,"[0.0, 1.0, 0.75, 0.0, 0.5]"
0.0,9,1102.7743542415924,28.40467147399613,2.64384521730221,"[0.25, 1.0, 0.75, 0.0, 0.0]"
0.0,10,1103.0378914392682,28.66820867167189,2.6683746881075443,"[0.25, 1.0, 0.75, 0.25, 0.0]"
0.1,1,1159.9644819241444,0.0,0.0,"[0.0, 1.0, 1.0, 0.0, 0.25]"
0.1,2,1160.0573986231677,0.09291669902336253,0.008010305528416417,"[0.25, 1.0, 1.0, 0.0, 0.0]"
0.1,3,1162.313342279674,2.348860355529723,0.2024941618586018,"[0.0, 1.0, 1.0, 0.0, 0.0]"
0.1,4,1162.371838223174,2.4073562990297432,0.2075370700175494,"[0.0, 1.0, 1.0, 0.25, 0.0]"
0.1,5,1162.4476225195212,2.483140595376881,0.21407039905720904,"[0.0, 1.0, 1.0, 0.5, 0.0]"
0.1,6,1195.136639530055,35.17215760591057,3.0321753945057983,"[0.0, 1.0, 0.75, 0.0, 0.5]"
0.1,7,1195.2517468612468,35.287264937102464,3.0420987441415637,"[0.25, 1.0, 0.75, 0.0, 0.25]"
0.1,8,1196.0072337937586,36.04275186961422,3.107228922201699,"[0.5, 1.0, 0.75, 0.0, 0.0]"
0.1,9,1197.248138206277,37.2836562821326,3.214206716078638,"[0.0, 1.0, 0.75, 0.25, 0.25]"
0.1,10,1197.3244762223426,37.35999429819822,3.2207877810384034,"[0.0, 1.0, 0.75, 0.0, 0.25]"
0.25,1,1219.5996345723133,0.0,0.0,"[0.0, 1.0, 1.0, 0.0, 0.25]"
0.25,2,1223.9908396199794,4.3912050476660625,0.3600529979828959,"[0.25, 1.0, 1.0, 0.0, 0.0]"
0.25,3,1226.453382026201,6.853747453887763,0.5619669979887387,"[0.0, 1.0, 1.0, 0.0, 0.0]"
0.25,4,1226.5090286752156,6.909394102902297,0.5665296960609023,"[0.0, 1.0, 1.0, 0.25, 0.0]"
0.25,5,1226.614754121919,7.015119549605743,0.5751985611299304,"[0.0, 1.0, 1.0, 0.5, 0.0]"
0.25,6,1259.1854325889867,39.58579801667338,3.2458027121790023,"[0.0, 1.0, 0.75, 0.0, 0.5]"
0.25,7,1263.0018751050918,43.40224053277848,3.5587285616069053,"[0.25, 1.0, 0.75, 0.0, 0.25]"
0.25,8,1265.1684902696,45.56885569728661,3.736378267550622,"[0.0, 1.0, 0.75, 0.25, 0.25]"
0.25,9,1265.3599058227012,45.76027125038786,3.7520732175715166,"[0.0, 1.0, 0.75, 0.0, 0.25]"
0.25,10,1268.4866788821998,48.887044309886505,4.008450226129345,"[0.5, 1.0, 0.75, 0.0, 0.0]"
