rho,model,A,B,D_A_minus_B,preferred
0.0,M0,910.909985387535,912.8078861804963,-1.897900792961309,A
0.0,M1,910.9099645520673,912.8078544312124,-1.8978898791450547,A
0.0,M2,1073.4591871321381,1074.1834157958187,-0.7242286636806057,A
0.0,M3,1073.3266050130724,1074.1014365573199,-0.7748315442474905,A
0.0,M4,1074.3696827675963,1074.772958718862,-0.4032759512656412,A
0.1,M0,936.4635154323114,938.492228397353,-2.0287129650415636,A
0.1,M1,936.4634737613767,938.4921648987829,-2.028691137406213,A
0.1,M2,1159.462939275082,1159.370287008473,0.09265226660886583,B
0.1,M3,1159.421347440102,1159.3490982422604,0.07224919784152917,B
0.1,M4,1160.0573986231677,1159.9644819241444,0.09291669902336253,B
0.25,M0,940.3597479237844,944.1266112253461,-3.7668633015616706,A
0.25,M1,940.3624765932923,944.1302415140369,-3.7677649207446393,A
0.25,M2,1221.9796020308415,1217.943033204204,4.036568826637449,B
0.25,M3,1221.8963830073726,1217.897436434927,3.998946572445675,B
0.25,M4,1223.9908396199794,1219.5996345723133,4.3912050476660625,B
