rho,model,policy,y_json,state_count,design_basis_count,status,objective,z,w
0.0,M0,A,"[0.25, 1.0, 1.0, 0.0, 0.0]",32,6,feasible,910.909985387535,"[0.0, 0.0, 0.38468508402373713, 0.0, 0.0]","[0.0, 0.0, 0.0, 550.7314971423054, 0.0, 82.59850285769517]"
0.0,M0,B,"[0.0, 1.0, 1.0, 0.0, 0.25]",32,6,feasible,912.8078861804963,"[0.0, 0.0, 0.384685084023737, 0.0, 0.0]","[0.0, 0.0, 0.0, 550.7314971423061, 0.0, 82.59850285769434]"
0.0,M1,A,"[0.25, 1.0, 1.0, 0.0, 0.0]",128,18,feasible,910.9099645520673,"[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 550.7314971423043, 0.0, 82.59850285769602]"
0.0,M1,B,"[0.0, 1.0, 1.0, 0.0, 0.25]",128,18,feasible,912.8078544312124,"[0.0, 0.0, 0.3846850840237372, 0.0, 0.0]","[0.0, 0.0, 0.0, 550.7314971423046, 0.0, 82.5985028576953]"
0.0,M2,B,"[0.0, 1.0, 1.0, 0.0, 0.25]",128,18,feasible,1074.1834157958187,"[0.0, 0.0, 0.3846850840237356, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223975, 0.0, 96.98202567760309]"
0.1,M0,B,"[0.0, 1.0, 1.0, 0.0, 0.25]",32,6,feasible,938.492228397353,"[0.0, 0.0, 0.38468508402373713, 0.0, 0.0]","[0.0, 0.0, 0.0, 550.7314971423056, 0.0, 82.59850285769511]"
0.1,M0,A,"[0.25, 1.0, 1.0, 0.0, 0.0]",32,6,feasible,936.4635154323114,"[0.0, 0.0, 0.38468508402373713, 0.0, 0.0]","[0.0, 0.0, 0.0, 550.731497142304, 0.0, 82.59850285769579]"
0.0,M2,A,"[0.25, 1.0, 1.0, 0.0, 0.0]",128,18,feasible,1073.4591871321381,"[0.0, 0.0, 0.38468508402373686, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.347974322395, 0.0, 96.98202567760544]"
0.0,M4,B,"[0.0, 1.0, 1.0, 0.0, 0.25]",128,18,feasible,1074.772958718862,"[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.347974322395, 0.0, 96.98202567760511]"
0.0,M4,A,"[0.25, 1.0, 1.0, 0.0, 0.0]",128,18,feasible,1074.3696827675963,"[0.0, 0.0, 0.384685084023737, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.347974322398, 0.0, 96.982025677602]"
0.1,M1,A,"[0.25, 1.0, 1.0, 0.0, 0.0]",128,18,feasible,936.4634737613767,"[0.0, 0.0, 0.3846850840237372, 0.0, 0.0]","[0.0, 0.0, 0.0, 550.7314971423066, 0.0, 82.59850285769342]"
0.1,M1,B,"[0.0, 1.0, 1.0, 0.0, 0.25]",128,18,feasible,938.4921648987829,"[0.0, 0.0, 0.38468508402373797, 0.0, 0.0]","[0.0, 0.0, 0.0, 550.7314971423014, 0.0, 82.59850285769893]"
0.1,M2,A,"[0.25, 1.0, 1.0, 0.0, 0.0]",128,18,feasible,1159.462939275082,"[0.0, 0.0, 0.38468508402373697, 0.0, 0.0]","[0.0, 0.0, 0.0, 462.77013333719066, 73.57784098519352, 96.98202567761571]"
0.1,M2,B,"[0.0, 1.0, 1.0, 0.0, 0.25]",128,18,feasible,1159.370287008473,"[0.0, 0.0, 0.38468508402373813, 0.0, 0.0]","[0.0, 0.0, 0.0, 435.68473973606416, 100.66323458606502, 96.98202567787045]"
0.25,M0,A,"[0.25, 1.0, 1.0, 0.0, 0.0]",32,6,feasible,940.3597479237844,"[0.0, 0.0, 0.3846850840237372, 0.0, 0.0]","[0.0, 0.0, 0.0, 550.7314971423053, 0.0, 82.59850285769394]"
0.25,M0,B,"[0.0, 1.0, 1.0, 0.0, 0.25]",32,6,feasible,944.1266112253461,"[0.0, 0.0, 0.3846850840237379, 0.0, 0.0]","[0.0, 0.0, 0.0, 550.7314971423053, 0.0, 82.59850285769443]"
0.1,M4,A,"[0.25, 1.0, 1.0, 0.0, 0.0]",128,18,feasible,1160.0573986231677,"[0.0, 0.0, 0.38468508402373747, 0.0, 0.0]","[0.0, 0.0, 0.0, 462.77013333707356, 73.57784098530111, 96.98202567762554]"
0.0,M3,B,"[0.0, 1.0, 1.0, 0.0, 0.25]",512,72,feasible,1074.1014365573199,"[0.0, 0.0, 0.3846850840237364, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223971, 0.0, 96.98202567760308]"
0.25,M1,B,"[0.0, 1.0, 1.0, 0.0, 0.25]",128,18,feasible,944.1302415140369,"[0.0, 0.0, 0.3846850840237373, 0.0, 0.0]","[0.0, 0.0, 0.0, 550.7314971423036, 0.0, 82.59850285769646]"
0.0,M3,A,"[0.25, 1.0, 1.0, 0.0, 0.0]",512,72,feasible,1073.3266050130724,"[0.0, 0.0, 0.38468508402373813, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223927, 0.0, 96.98202567760733]"
0.1,M4,B,"[0.0, 1.0, 1.0, 0.0, 0.25]",128,18,feasible,1159.9644819241444,"[0.0, 0.0, 0.38468508402373697, 0.0, 0.0]","[0.0, 0.0, 0.0, 435.6847398207581, 100.66323450163769, 96.98202567760406]"
0.25,M1,A,"[0.25, 1.0, 1.0, 0.0, 0.0]",128,18,feasible,940.3624765932923,"[0.0, 0.0, 0.3846850840237374, 0.0, 0.0]","[0.0, 0.0, 0.0, 550.7314971423041, 0.0, 82.59850285769589]"
0.25,M2,B,"[0.0, 1.0, 1.0, 0.0, 0.25]",128,18,feasible,1217.943033204204,"[0.0, 0.0, 0.3846850840237396, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.458333393509, 261.8896409288621, 96.98202567762898]"
0.25,M2,A,"[0.25, 1.0, 1.0, 0.0, 0.0]",128,18,feasible,1221.9796020308415,"[0.0, 0.0, 0.38468508402373713, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.45833339348764, 261.88964092890757, 96.98202567760514]"
0.25,M4,B,"[0.0, 1.0, 1.0, 0.0, 0.25]",128,18,feasible,1219.5996345723133,"[0.0, 0.0, 0.38468508402373874, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.4583333934124, 261.8896409289727, 96.98202567761494]"
0.25,M4,A,"[0.25, 1.0, 1.0, 0.0, 0.0]",128,18,feasible,1223.9908396199794,"[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.45833339340555, 261.88964092901114, 96.98202567758334]"
0.1,M3,A,"[0.25, 1.0, 1.0, 0.0, 0.0]",512,72,feasible,1159.421347440102,"[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 462.77013333627224, 73.57784098609983, 96.98202567762867]"
