rho,regime,declared_nominal_weight,computed_nominal_mass,worst_case_mass,mass_shift
0.0,normal,0.7,0.7,0.7,0.0
0.0,north,0.15,0.15,0.15,0.0
0.0,central,0.1,0.1,0.1,0.0
0.0,widespread,0.05,0.05,0.05,0.0
0.025,normal,0.7,0.7,0.675,-0.02499999999999991
0.025,north,0.15,0.15,0.15169494738707984,0.0016949473870798426
0.025,central,0.1,0.1,0.1,0.0
0.025,widespread,0.05,0.05,0.07330505261292017,0.023305052612920166
0.05,normal,0.7,0.7,0.6499999999999999,-0.050000000000000044
0.05,north,0.15,0.15,0.15169494738707984,0.0016949473870798426
0.05,central,0.1,0.1,0.1,0.0
0.05,widespread,0.05,0.05,0.09830505261292018,0.048305052612920174
0.075,normal,0.7,0.7,0.625,-0.07499999999999996
0.075,north,0.15,0.15,0.175,0.024999999999999994
0.075,central,0.1,0.1,0.1,0.0
0.075,widespread,0.05,0.05,0.10000000000000002,0.05000000000000002
0.1,normal,0.7,0.7,0.5999999999999999,-0.10000000000000009
0.1,north,0.15,0.15,0.19967596762786,0.04967596762786
0.1,central,0.1,0.1,0.10032403237214005,0.0003240323721400429
0.1,widespread,0.05,0.05,0.10000000000000003,0.05000000000000003
0.125,normal,0.7,0.7000000000000002,0.5760328584558825,-0.12396714154411748
0.125,north,0.15,0.15000000000000002,0.20918007046568626,0.05918007046568627
0.125,central,0.1,0.09999999999999999,0.11478707107843128,0.014787071078431274
0.125,widespread,0.05,0.05,0.09999999999999995,0.04999999999999995
0.15,normal,0.7,0.7000000000000002,0.5510328584558823,-0.1489671415441176
0.15,north,0.15,0.15000000000000002,0.22760650166316526,0.07760650166316527
0.15,central,0.1,0.09999999999999999,0.12136063988095236,0.021360639880952353
0.15,widespread,0.05,0.05,0.09999999999999998,0.049999999999999975
0.2,normal,0.7,0.7000000000000002,0.5010328584558823,-0.19896714154411765
0.2,north,0.15,0.15000000000000002,0.2439314922844979,0.0939314922844979
0.2,central,0.1,0.09999999999999999,0.1550356492596196,0.055035649259619596
0.2,widespread,0.05,0.05,0.09999999999999995,0.04999999999999995
0.25,normal,0.7,0.7000000000000002,0.4510328584558825,-0.24896714154411748
0.25,north,0.15,0.15000000000000002,0.28583068424060804,0.13583068424060804
0.25,central,0.1,0.09999999999999999,0.16313645730350956,0.06313645730350956
0.25,widespread,0.05,0.05,0.09999999999999998,0.049999999999999975
