experiment_version,rho,relative_tolerance,absolute_tolerance,stage1_robust_benchmark,stage1_selected_y_json,sacrifice_allowance,objective_bound,stage2_service_floor,stage2_service_upper_bound,stage2_objective,realized_sacrifice,realized_sacrifice_percent,allowed_tolerance_used_percent,selected_y_json,selected_z_json,selected_w_json,stage1_admissible_policy_count,service_tie_count_within_resolution,bisection_steps,terminal_service_resolution_gap,oracle_gap,solution_scope
noto-stage2-joint-separated-capability-marginal-v2,0.0,0.001,1e-05,1070.808480778403,"[0.25, 1.0, 1.0, 0.0, 0.0]",1.070808480778403,1071.8792892591814,0.19808837890625003,0.19814453125,1071.8722054009475,1.0637246225444414,0.09933845702932684,99.33845702932683,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 526.7016634993133, 9.646310823082993, 96.98202567760372]",1,1,14,5.6152343749976685e-05,4.547473508864641e-13,grid-global up to reported bisection resolution over Stage-1-admissible M4 policies
noto-stage2-joint-separated-capability-marginal-v2,0.0,0.005,1e-05,1070.808480778403,"[0.25, 1.0, 1.0, 0.0, 0.0]",5.354042403892016,1076.162523182295,0.214765625,0.21482177734374996,1076.1506395024398,5.342158724036835,0.4988902142569378,99.77804285138755,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 487.9029891954853, 48.444985126911035, 96.98202567760372]",5,1,14,5.615234375000444e-05,4.547473508864641e-13,grid-global up to reported bisection resolution over Stage-1-admissible M4 policies
noto-stage2-joint-separated-capability-marginal-v2,0.075,0.001,1e-05,1143.3408296171401,"[0.25, 1.0, 1.0, 0.0, 0.0]",1.1433408296171401,1144.4841704467572,0.208251953125,0.20830810546875,1144.4797549148789,1.1389252977387514,0.09961380440862351,99.61380440862351,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 503.05668016937125, 33.291294153025795, 96.98202567760296]",1,1,14,5.615234375000444e-05,4.547473508864641e-13,grid-global up to reported bisection resolution over Stage-1-admissible M4 policies
noto-stage2-joint-separated-capability-marginal-v2,0.075,0.005,1e-05,1143.3408296171401,"[0.25, 1.0, 1.0, 0.0, 0.0]",5.716704148085701,1149.0575337652258,0.26462890624999996,0.2646850585937499,1149.0552180491036,5.714388431963471,0.499797460559245,99.959492111849,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 364.1000711195439, 172.24790320285348, 96.98202567760268]",5,1,14,5.615234375000444e-05,4.547473508864641e-13,grid-global up to reported bisection resolution over Stage-1-admissible M4 policies
noto-stage2-joint-separated-capability-marginal-v2,0.1,0.001,1e-05,1159.7102992138502,"[0.25, 1.0, 1.0, 0.0, 0.0]",1.1597102992138504,1160.8700095130641,0.22964599609375003,0.22970214843750003,1160.8677887139459,1.1574895000956076,0.09980850397554043,99.80850397554042,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 452.5185085792796, 83.82946574311681, 96.98202567760357]",1,1,14,5.615234375000444e-05,6.821210263296962e-13,grid-global up to reported bisection resolution over Stage-1-admissible M4 policies
noto-stage2-joint-separated-capability-marginal-v2,0.1,0.005,1e-05,1159.7102992138502,"[0.25, 1.0, 1.0, 0.0, 0.0]",5.798551496069251,1165.5088507099194,0.29034667968750005,0.29040283203125006,1165.4983470726097,5.788047858759455,0.49909428783059734,99.81885756611946,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 18.50013882218299, 275.4382317500591, 242.40960375015504, 96.98202567760288]",5,1,14,5.615234375000444e-05,1.1368683772161603e-12,grid-global up to reported bisection resolution over Stage-1-admissible M4 policies
noto-stage2-joint-separated-capability-marginal-v2,0.125,0.001,1e-05,1174.5742489002841,"[0.0, 1.0, 1.0, 0.0, 0.25]",1.1745742489002842,1175.7488231491843,0.28950439453125,0.289560546875,1175.7453887395386,1.1711398392544652,0.09970760387016533,99.70760387016534,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 13.458641773922544, 282.777601086987, 240.1117314614882, 96.98202567760234]",2,1,14,5.615234375000444e-05,1.1368683772161603e-12,grid-global up to reported bisection resolution over Stage-1-admissible M4 policies
noto-stage2-joint-separated-capability-marginal-v2,0.125,0.005,1e-05,1174.5742489002841,"[0.0, 1.0, 1.0, 0.0, 0.25]",5.872871244501421,1180.4471201447855,0.29815185546875,0.2982080078125,1180.415498928427,5.841250028142895,0.49730785717564197,99.46157143512839,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 65.22093586398525, 207.42381816660838, 263.70322029180295, 96.98202567760345]",5,1,14,5.615234375000444e-05,6.821210263296962e-13,grid-global up to reported bisection resolution over Stage-1-admissible M4 policies
noto-stage2-joint-separated-capability-marginal-v2,0.25,0.001,1e-05,1222.787875223676,"[0.0, 1.0, 1.0, 0.0, 0.25]",1.222787875223676,1224.0106630988998,0.28602294921875004,0.28607910156250005,1223.9959343848125,1.2080591611363616,0.0987954808527505,98.7954808527505,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 296.3046950658617, 240.04327925653467, 96.98202567760363]",1,1,14,5.615234375000444e-05,2.2737367544323206e-13,grid-global up to reported bisection resolution over Stage-1-admissible M4 policies
noto-stage2-joint-separated-capability-marginal-v2,0.25,0.005,1e-05,1222.787875223676,"[0.0, 1.0, 1.0, 0.0, 0.25]",6.113939376118381,1228.9018145997945,0.299443359375,0.29949951171875,1228.8819260522127,6.094050828536638,0.49837350794976565,99.67470158995312,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 73.63488175226145, 195.47538679369075, 267.2377057764437, 96.98202567760416]",5,1,14,5.615234375000444e-05,2.2737367544323206e-13,grid-global up to reported bisection resolution over Stage-1-admissible M4 policies
