experiment_version,scenario_id,scenario_type,density_cap,response_profile,response_knots_json,rho,objective,lower_bound,selected_y_json,selected_z_json,selected_w_json,second_y_json,second_objective,absolute_margin,margin_percent,tie_count,operationally_feasible_count,operationally_infeasible_count,state_count,critical_state_count,grid_scope,source,selected_y,diagnostic_objective,actual_tv_movement,max_density_ratio,density_cap_binding,widespread_nominal_mass,widespread_worst_case_mass,widespread_mass_shift,widespread_max_density_ratio,widespread_saturated_state_count,widespread_state_count,base_k2_selected_y_json,policy_differs_from_k2
noto-joint-sensitivity-separated-capability-marginal-v1,density_cap__k1p50__base,density_cap,1.5,base,"[[0.0, 1.0], [30.0, 1.0], [60.0, 0.75], [120.0, 0.25], [180.0, 0.0]]",0.075,1131.1341623190026,1131.1341623190021,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223975, 0.0, 96.98202567760251]","[0.0, 1.0, 1.0, 0.0, 0.25]",1133.1563122359194,2.02214991691676,0.17877188969088742,1,996,0,128,18,"full {0,0.25,0.50,0.75,1}^5 intersect road budget",new_sensitivity_run,"[0.25, 1.0, 1.0, 0.0, 0.0]",1131.1341623190026,0.07499999999999996,1.5000000000001348,True,0.05000000000000001,0.07500000000000001,0.025000000000000005,1.5000000000000007,32,32,"[0.25, 1.0, 1.0, 0.0, 0.0]",False
,frozen_base_k2p00,density_cap,2.0,base,"[[0.0, 1.0], [30.0, 1.0], [60.0, 0.75], [120.0, 0.25], [180.0, 0.0]]",0.075,1143.34082961714,,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223972, 0.0, 96.98202567760283]",,,,,1,996,0,128,18,"full {0,.25,.5,.75,1}^5 intersect road budget",frozen_base_archive,"[0.25, 1.0, 1.0, 0.0, 0.0]",1143.3408296171401,0.07499999999999998,2.00000000000002,True,0.05000000000000001,0.10000000000000002,0.05000000000000002,2.0000000000000013,32,32,"[0.25, 1.0, 1.0, 0.0, 0.0]",False
noto-joint-sensitivity-separated-capability-marginal-v1,density_cap__k3p00__base,density_cap,3.0,base,"[[0.0, 1.0], [30.0, 1.0], [60.0, 0.75], [120.0, 0.25], [180.0, 0.0]]",0.075,1148.4827932521027,1148.4827932521023,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.347974322396, 0.0, 96.98202567760406]","[0.0, 1.0, 1.0, 0.0, 0.25]",1150.7965839348285,2.3137906827257666,0.20146498461453,1,996,0,128,18,"full {0,0.25,0.50,0.75,1}^5 intersect road budget",new_sensitivity_run,"[0.25, 1.0, 1.0, 0.0, 0.0]",1148.4827932521027,0.07499999999999997,3.00000000000004,True,0.05000000000000001,0.12161010522584036,0.07161010522584033,3.0000000000000027,30,32,"[0.25, 1.0, 1.0, 0.0, 0.0]",False
noto-joint-sensitivity-separated-capability-marginal-v1,density_cap__k1p50__base,density_cap,1.5,base,"[[0.0, 1.0], [30.0, 1.0], [60.0, 0.75], [120.0, 0.25], [180.0, 0.0]]",0.1,1146.8351330696726,1146.8351330696719,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223969, 0.0, 96.98202567760309]","[0.0, 1.0, 1.0, 0.0, 0.25]",1148.6976763704213,1.8625433007487118,0.16240724120155647,1,996,0,128,18,"full {0,0.25,0.50,0.75,1}^5 intersect road budget",new_sensitivity_run,"[0.25, 1.0, 1.0, 0.0, 0.0]",1146.8351330696726,0.09999999999999998,1.5000000000001348,True,0.05000000000000001,0.07500000000000001,0.025000000000000005,1.5000000000000007,32,32,"[0.25, 1.0, 1.0, 0.0, 0.0]",False
,frozen_base_k2p00,density_cap,2.0,base,"[[0.0, 1.0], [30.0, 1.0], [60.0, 0.75], [120.0, 0.25], [180.0, 0.0]]",0.1,1159.7102992138502,,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223975, 0.0, 96.9820256776026]",,,,,1,996,0,128,18,"full {0,.25,.5,.75,1}^5 intersect road budget",frozen_base_archive,"[0.25, 1.0, 1.0, 0.0, 0.0]",1159.7102992138502,0.10000000000000014,2.00000000000027,True,0.05000000000000001,0.10000000000000006,0.050000000000000044,2.0000000000000018,32,32,"[0.25, 1.0, 1.0, 0.0, 0.0]",False
noto-joint-sensitivity-separated-capability-marginal-v1,density_cap__k3p00__base,density_cap,3.0,base,"[[0.0, 1.0], [30.0, 1.0], [60.0, 0.75], [120.0, 0.25], [180.0, 0.0]]",0.1,1172.5637661671522,1172.5637661671517,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 281.7932239470066, 254.55475037539077, 96.98202567760268]","[0.25, 1.0, 1.0, 0.0, 0.0]",1172.9912161124194,0.4274499452671989,0.036454302751010026,1,996,0,128,18,"full {0,0.25,0.50,0.75,1}^5 intersect road budget",new_sensitivity_run,"[0.0, 1.0, 1.0, 0.0, 0.25]",1172.5637661671522,0.10000000000000003,3.0000000000000147,True,0.05,0.12670763973692434,0.07670763973692434,3.000000000000002,30,32,"[0.25, 1.0, 1.0, 0.0, 0.0]",True
noto-joint-sensitivity-separated-capability-marginal-v1,density_cap__k1p50__base,density_cap,1.5,base,"[[0.0, 1.0], [30.0, 1.0], [60.0, 0.75], [120.0, 0.25], [180.0, 0.0]]",0.125,1155.1919800018952,1155.1919800018948,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.347974322397, 0.0, 96.98202567760303]","[0.0, 1.0, 1.0, 0.0, 0.25]",1157.2457065604829,2.053726558587641,0.17778227291573856,1,996,0,128,18,"full {0,0.25,0.50,0.75,1}^5 intersect road budget",new_sensitivity_run,"[0.25, 1.0, 1.0, 0.0, 0.0]",1155.1919800018952,0.12499999999999996,1.5000000000009734,True,0.05000000000000001,0.07500000000000001,0.025000000000000005,1.5000000000000007,32,32,"[0.0, 1.0, 1.0, 0.0, 0.25]",True
,frozen_base_k2p00,density_cap,2.0,base,"[[0.0, 1.0], [30.0, 1.0], [60.0, 0.75], [120.0, 0.25], [180.0, 0.0]]",0.125,1174.574248900284,,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 348.0289218062954, 188.3190525161009, 96.98202567760376]",,,,,1,996,0,128,18,"full {0,.25,.5,.75,1}^5 intersect road budget",frozen_base_archive,"[0.0, 1.0, 1.0, 0.0, 0.25]",1174.5742489002841,0.125,2.000000000000204,True,0.05,0.09999999999999995,0.04999999999999995,1.9999999999999996,32,32,"[0.0, 1.0, 1.0, 0.0, 0.25]",False
noto-joint-sensitivity-separated-capability-marginal-v1,density_cap__k3p00__base,density_cap,3.0,base,"[[0.0, 1.0], [30.0, 1.0], [60.0, 0.75], [120.0, 0.25], [180.0, 0.0]]",0.125,1189.3448043375524,1189.3448043375513,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 200.81947245630522, 335.5285018660908, 96.98202567760408]","[0.25, 1.0, 1.0, 0.0, 0.0]",1191.7444452267146,2.3996408891621286,0.20176158170537306,1,996,0,128,18,"full {0,0.25,0.50,0.75,1}^5 intersect road budget",new_sensitivity_run,"[0.0, 1.0, 1.0, 0.0, 0.25]",1189.3448043375524,0.125,3.000000000000018,True,0.05,0.13772763238802604,0.08772763238802606,3.0000000000000013,31,32,"[0.0, 1.0, 1.0, 0.0, 0.25]",False
noto-joint-sensitivity-separated-capability-marginal-v1,density_cap__k1p50__base,density_cap,1.5,base,"[[0.0, 1.0], [30.0, 1.0], [60.0, 0.75], [120.0, 0.25], [180.0, 0.0]]",0.25,1165.256040442061,1165.2560404420603,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223966, 0.0, 96.98202567760345]","[0.0, 1.0, 1.0, 0.0, 0.25]",1168.0266945187016,2.7706540766405396,0.23777212736777464,1,996,0,128,18,"full {0,0.25,0.50,0.75,1}^5 intersect road budget",new_sensitivity_run,"[0.25, 1.0, 1.0, 0.0, 0.0]",1165.256040442061,0.24999999999999994,1.5000000000009734,True,0.05000000000000001,0.07500000000000001,0.025000000000000005,1.5000000000000007,32,32,"[0.0, 1.0, 1.0, 0.0, 0.25]",True
