experiment_version,setting,parameters_json,rho,rank,objective,gap,gap_percent,y_json,z_json,w_json
noto-selected-sensitivity-separated-capability-marginal-v1,design_S1,"{""design"": ""S1""}",0.25,1,1222.787875223677,0.0,0.0,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.45833339350355, 261.88964092888756, 96.9820256776086]"
noto-selected-sensitivity-separated-capability-marginal-v1,design_S1,"{""design"": ""S1""}",0.25,2,1225.8647972839435,3.0769220602664973,0.2516317116493916,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373736, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.45833339353175, 261.88964092887096, 96.98202567759547]"
noto-selected-sensitivity-separated-capability-marginal-v1,design_S1,"{""design"": ""S1""}",0.25,3,1228.4322853309995,5.644410107322528,0.46160173990030806,"[0.0, 1.0, 1.0, 0.5, 0.0]","[0.0, 0.0, 0.3846850840237376, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.45833339350315, 261.8896409288889, 96.98202567760856]"
noto-selected-sensitivity-separated-capability-marginal-v1,design_S1,"{""design"": ""S1""}",0.25,4,1228.608817274438,5.820942050761005,0.4760385810741008,"[0.0, 1.0, 1.0, 0.25, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.4583333935745, 261.8896409288163, 96.98202567760923]"
noto-selected-sensitivity-separated-capability-marginal-v1,design_S1,"{""design"": ""S1""}",0.25,5,1228.8101161404727,6.022240916795681,0.49250086943282145,"[0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.3846850840237383, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.4583333935222, 261.8896409288763, 96.9820256775993]"
noto-selected-sensitivity-separated-capability-marginal-v1,facility_mild,"{""facility"": ""mild""}",0.0,1,1008.1978189281857,0.0,0.0,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 495.1898842104672, 41.15809011192968, 0.0, 96.98202567760316]"
noto-selected-sensitivity-separated-capability-marginal-v1,facility_mild,"{""facility"": ""mild""}",0.0,2,1015.5775343518496,7.379715423663924,0.7319709768375926,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 428.30838706819156, 108.03958725420523, 0.0, 96.98202567760322]"
noto-selected-sensitivity-separated-capability-marginal-v1,facility_mild,"{""facility"": ""mild""}",0.0,3,1017.4722475271334,9.27442859894768,0.9199016725514486,"[0.0, 1.0, 0.75, 0.0, 0.5]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 536.3479743223962, 0.0, 0.0, 96.98202567760379]"
noto-selected-sensitivity-separated-capability-marginal-v1,facility_mild,"{""facility"": ""mild""}",0.0,4,1017.5093295693914,9.3115106412057,0.9235797247711508,"[0.0, 1.0, 1.0, 0.25, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 428.30838706816877, 108.03958725422837, 0.0, 96.98202567760286]"
noto-selected-sensitivity-separated-capability-marginal-v1,facility_mild,"{""facility"": ""mild""}",0.0,5,1017.5093295693914,9.3115106412057,0.9235797247711508,"[0.0, 1.0, 1.0, 0.5, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 428.3083870681968, 108.03958725420046, 0.0, 96.98202567760275]"
noto-selected-sensitivity-separated-capability-marginal-v1,facility_mild,"{""facility"": ""mild""}",0.25,1,1061.3421548291367,0.0,0.0,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 536.3479743223971, 0.0, 0.0, 96.98202567760295]"
noto-selected-sensitivity-separated-capability-marginal-v1,facility_mild,"{""facility"": ""mild""}",0.25,2,1071.9897981202566,10.647643291119948,1.0032243836422428,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 536.3479743223975, 0.0, 0.0, 96.98202567760262]"
noto-selected-sensitivity-separated-capability-marginal-v1,facility_mild,"{""facility"": ""mild""}",0.25,3,1074.6242724915414,13.282117662404744,1.2514454082475313,"[0.0, 1.0, 1.0, 0.5, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 536.3479743223977, 0.0, 0.0, 96.98202567760234]"
noto-selected-sensitivity-separated-capability-marginal-v1,facility_mild,"{""facility"": ""mild""}",0.25,4,1074.624272491542,13.282117662405199,1.2514454082475757,"[0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 536.347974322397, 0.0, 0.0, 96.98202567760298]"
