rho,budget_fraction,absolute_budget,objective,second_objective,absolute_margin,margin_percent,selected_y_json,selected_z_json,selected_w_json,road_budget_used,road_budget_slack,feasible_tier_count,within_0p01_percent,within_0p10_percent,within_0p50_percent,corridor_2_full,corridor_3_full,residual_split_two_corridors,base_budget_fraction
0.0,0.2,1.0936847584238956,1193.8922308620777,1218.6016349281222,24.7094040660445,2.0696511315935524,"[0.0,0.5,0.75,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223961, 0.0, 96.98202567760387]",1.0781352055026567,0.01554955292123883,96,1,1,1,False,False,True,0.42000000000000004
0.0,0.225,1.2303953532268823,1176.6015836510323,1184.9140797582904,8.312496107258085,0.7064835049315625,"[0.0,0.75,0.5,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223959, 0.0, 96.98202567760417]",1.101236873980789,0.12915847924609336,141,1,1,1,False,False,True,0.42000000000000004
0.0,0.25,1.3671059480298693,1138.9174087584088,1142.2560297763268,3.338621017918058,0.2931398705686356,"[0.0,1.0,0.5,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.347974322397, 0.0, 96.98202567760299]",1.3307249161681995,0.036381031861669744,200,1,1,2,True,False,True,0.42000000000000004
0.0,0.275,1.5038165428328563,1138.9174087584088,1142.2560297763268,3.338621017918058,0.2931398705686356,"[0.0,1.0,0.5,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.347974322397, 0.0, 96.98202567760299]",1.3307249161681995,0.17309162666465672,268,1,1,2,True,False,True,0.42000000000000004
0.0,0.3,1.640527137635843,1101.5623539683902,1115.8097077950015,14.247353826611288,1.2933769727410385,"[0.0,1.0,0.75,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223966, 0.0, 96.98202567760353]",1.5371112898774781,0.10341584775836488,354,1,1,1,True,False,True,0.42000000000000004
0.0,0.325,1.7772377324388302,1073.0737407075203,1101.5623539683902,28.488613260869897,2.654860722068012,"[0.0,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223971, 0.0, 96.98202567760286]",1.7434976635867565,0.0337400688520737,458,1,1,1,True,True,False,0.42000000000000004
0.0,0.35,1.913948327241817,1073.0737407075203,1099.417697011755,26.34395630423478,2.454999624430765,"[0.0,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223971, 0.0, 96.98202567760286]",1.7434976635867565,0.17045066365506045,577,1,1,1,True,True,False,0.42000000000000004
0.0,0.375,2.050658922044804,1072.931420735763,1073.0737407075203,0.14231997175738798,0.013264591660461582,"[0.0,1.0,1.0,0.25,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.347974322397, 0.0, 96.982025677603]",1.9843506802675792,0.06630824177722472,713,1,2,2,True,True,False,0.42000000000000004
0.0,0.4,2.187369516847791,1070.808480778403,1072.6316510649256,1.8231702865225543,0.17026109890325455,"[0.25,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223963, 0.0, 96.98202567760372]",2.1163406877715145,0.07102882907627661,865,1,1,4,True,True,False,0.42000000000000004
0.0,0.42,2.2967379926901805,1070.808480778403,1072.6316510649256,1.8231702865225543,0.17026109890325455,"[0.25,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223963, 0.0, 96.98202567760372]",2.1163406877715145,0.180397304918666,996,1,1,5,True,True,False,0.42000000000000004
