rho,target_gap_percent,first_event_index,first_oracle_calls,first_runtime_seconds
0.0,0.025,1,0,
0.0,0.05,1,0,
0.0,0.1,1,0,
0.0,0.25,1,0,
0.0,0.5,1,0,
0.0,1.0,1,0,
0.025,0.025,1,0,
0.025,0.05,1,0,
0.025,0.1,1,0,
0.025,0.25,1,0,
0.025,0.5,1,0,
0.025,1.0,1,0,
0.05,0.025,1,0,
0.05,0.05,1,0,
0.05,0.1,1,0,
0.05,0.25,1,0,
0.05,0.5,1,0,
0.05,1.0,1,0,
0.075,0.025,1,0,
0.075,0.05,1,0,
0.075,0.1,1,0,
0.075,0.25,1,0,
0.075,0.5,1,0,
0.075,1.0,1,0,
0.1,0.025,1,0,
0.1,0.05,1,0,
0.1,0.1,1,0,
0.1,0.25,1,0,
0.1,0.5,1,0,
0.1,1.0,1,0,
0.125,0.025,1,0,
0.125,0.05,1,0,
0.125,0.1,1,0,
0.125,0.25,1,0,
0.125,0.5,1,0,
0.125,1.0,1,0,
0.15,0.025,1,0,
0.15,0.05,1,0,
0.15,0.1,1,0,
0.15,0.25,1,0,
0.15,0.5,1,0,
0.15,1.0,1,0,
0.2,0.025,1,0,
0.2,0.05,1,0,
0.2,0.1,1,0,
0.2,0.25,1,0,
0.2,0.5,1,0,
0.2,1.0,1,0,
0.25,0.025,1,0,
0.25,0.05,1,0,
0.25,0.1,1,0,
0.25,0.25,1,0,
0.25,0.5,1,0,
0.25,1.0,1,0,
