rho,event,node_id,objective,lower_bound,y_json,z_json,w_json
0.0,incumbent_improvement,227,1070.2262903937517,1070.2262903937512,"[0.25, 1.0, 1.0, 0.25, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223962, 0.0, 96.98202567760386]"
0.0,incumbent_improvement,228,1069.853953573761,1069.8539535737602,"[0.25, 1.0, 1.0, 0.25, 0.5]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.347974322396, 0.0, 96.98202567760401]"
0.0,incumbent_improvement,229,1069.5490917122663,1069.5490917122656,"[0.25, 1.0, 1.0, 0.25, 0.75]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.347974322397, 0.0, 96.98202567760308]"
0.0,incumbent_improvement,230,1069.3117048092683,1069.311704809268,"[0.25, 1.0, 1.0, 0.25, 1.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223968, 0.0, 96.98202567760322]"
0.0,incumbent_improvement,430,1068.3567830884351,1068.356783088435,"[0.5, 1.0, 1.0, 0.25, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223974, 0.0, 96.9820256776027]"
0.0,incumbent_improvement,431,1067.9843766126398,1067.9843766126392,"[0.5, 1.0, 1.0, 0.25, 0.5]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223963, 0.0, 96.98202567760369]"
0.0,incumbent_improvement,433,1067.867201610504,1067.8672016105036,"[0.5, 1.0, 1.0, 0.5, 0.5]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223977, 0.0, 96.9820256776024]"
0.0,incumbent_improvement,569,1066.8831714477744,1066.8831714477742,"[0.75, 1.0, 1.0, 0.25, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223968, 0.0, 96.98202567760322]"
0.0,incumbent_improvement,570,1066.7641276789109,1066.7641276789109,"[0.75, 1.0, 1.0, 0.5, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223969, 0.0, 96.98202567760316]"
0.05,incumbent_improvement,430,1119.2257472772214,1119.225747277221,"[0.5, 1.0, 1.0, 0.25, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223968, 0.0, 96.98202567760325]"
