rho,hybrid_plan,maximum_fixed_plan_service_lower,maximum_fixed_plan_service_upper,robust_loss,budget_feasible,baseline_8_percent_feasible,bisection_steps,y_json,z_json,w_json
0.0,baseline,0.19390869140625,0.1939697265625,1070.808480778403,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]"
0.0,capacity_only,0.19390869140625,0.1939697265625,1070.808480778403,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]"
0.0,complete,0.19390869140625,0.1939697265625,1070.808480778403,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]"
0.0,road_only,0.19390869140625,0.1939697265625,1070.808480778403,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]"
0.025,baseline,0.19390869140625,0.1939697265625,1097.391425585094,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]"
0.025,capacity_only,0.19390869140625,0.1939697265625,1097.391425585094,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223971,0.0,96.98202567760289]"
0.025,complete,0.19390869140625,0.1939697265625,1097.391425585094,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223971,0.0,96.98202567760289]"
0.025,road_only,0.19390869140625,0.1939697265625,1097.391425585094,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]"
0.05,baseline,0.19390869140625,0.1939697265625,1121.8998484454114,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]"
0.05,capacity_only,0.19390869140625,0.1939697265625,1121.899848445411,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223978,0.0,96.98202567760224]"
0.05,complete,0.19390869140625,0.1939697265625,1121.899848445411,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223978,0.0,96.98202567760224]"
0.05,road_only,0.19390869140625,0.1939697265625,1121.8998484454114,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]"
0.075,baseline,0.19390869140625,0.1939697265625,1143.3408296171406,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]"
0.075,capacity_only,0.19390869140625,0.1939697265625,1143.3408296171401,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223972,0.0,96.98202567760283]"
0.075,complete,0.19390869140625,0.1939697265625,1143.3408296171401,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223972,0.0,96.98202567760283]"
0.075,road_only,0.19390869140625,0.1939697265625,1143.3408296171406,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]"
0.1,baseline,0.19390869140625,0.1939697265625,1159.7102992138502,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]"
0.1,capacity_only,0.19390869140625,0.1939697265625,1159.7102992138502,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223975,0.0,96.9820256776026]"
0.1,complete,0.19390869140625,0.1939697265625,1159.7102992138502,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223975,0.0,96.9820256776026]"
0.1,road_only,0.19390869140625,0.1939697265625,1159.7102992138502,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]"
0.125,baseline,0.19390869140625,0.1939697265625,1175.5850715367264,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]"
0.125,capacity_only,0.2705078125,0.27056884765625,1175.6104340950192,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,348.0289218062954,188.3190525161009,96.98202567760376]"
0.125,complete,0.2705078125,0.27056884765625,1174.5742489002841,True,True,14,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,348.0289218062954,188.3190525161009,96.98202567760376]"
0.125,road_only,0.19390869140625,0.1939697265625,1177.8733988703991,True,True,14,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]"
0.15,baseline,0.19390869140625,0.1939697265625,1191.4598438596026,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]"
0.15,capacity_only,0.28277587890625,0.2828369140625,1187.4218090855024,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,280.59320351909935,255.75477080329875,96.98202567760194]"
0.15,complete,0.28277587890625,0.2828369140625,1185.0467233797858,True,True,14,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,280.59320351909935,255.75477080329875,96.98202567760194]"
0.15,road_only,0.19390869140625,0.1939697265625,1193.6809734069143,True,True,14,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]"
0.2,baseline,0.19390869140625,0.1939697265625,1222.8617853609421,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]"
0.2,capacity_only,0.28192138671875,0.281982421875,1207.5452396014416,True,True,14,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,276.18572679423403,260.1622475281618,96.98202567760421]"
0.2,complete,0.28192138671875,0.281982421875,1204.519775281224,True,True,14,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,276.18572679423403,260.1622475281618,96.98202567760421]"
