scenario_id,density_cap,response_profile,rho,tau,Psi_rho,Psi_0,co_benefit,incremental_equity_value,complementarity_DID
k1p50__base,1.5,base,0.1,0.001,0.19390869140625,0.19390869140625,0.0,0.0,0.0
k1p50__base,1.5,base,0.1,0.005,0.22003173828125,0.19390869140625,0.026123046875,0.026123046875,0.026123046875
k1p50__base,1.5,base,0.125,0.001,0.19390869140625,0.19390869140625,0.0,0.0,0.0
k1p50__base,1.5,base,0.125,0.005,0.19390869140625,0.19390869140625,0.0,0.0,0.0
k1p50__base,1.5,base,0.25,0.001,0.19390869140625,0.19390869140625,0.0,0.0,0.0
k1p50__base,1.5,base,0.25,0.005,0.19390869140625,0.19390869140625,0.0,0.0,0.0
k2p00__base,2.0,base,0.025,0.0005,0.19390869140625,0.19390869140625,0.0,0.0,0.0
k2p00__base,2.0,base,0.025,0.001,0.19390869140625,0.19390869140625,0.0,0.0,0.0
k2p00__base,2.0,base,0.025,0.0025,0.19390869140625,0.19390869140625,0.0,0.0,0.0
k2p00__base,2.0,base,0.025,0.005,0.19390869140625,0.19390869140625,0.0,0.0,0.0
k2p00__base,2.0,base,0.025,0.01,0.19390869140625,0.19390869140625,0.0,0.0,0.0
k2p00__base,2.0,base,0.05,0.0005,0.19390869140625,0.19390869140625,0.0,0.0,0.0
k2p00__base,2.0,base,0.05,0.001,0.19390869140625,0.19390869140625,0.0,0.0,0.0
k2p00__base,2.0,base,0.05,0.0025,0.19390869140625,0.19390869140625,0.0,0.0,0.0
k2p00__base,2.0,base,0.05,0.005,0.19390869140625,0.19390869140625,0.0,0.0,0.0
k2p00__base,2.0,base,0.05,0.01,0.19390869140625,0.19390869140625,0.0,0.0,0.0
k2p00__base,2.0,base,0.075,0.0005,0.19390869140625,0.19390869140625,0.0,0.0,0.0
k2p00__base,2.0,base,0.075,0.001,0.19390869140625,0.19390869140625,0.0,0.0,0.0
k2p00__base,2.0,base,0.075,0.0025,0.19390869140625,0.19390869140625,0.0,0.0,0.0
k2p00__base,2.0,base,0.075,0.005,0.19390869140625,0.19390869140625,0.0,0.0,0.0
k2p00__base,2.0,base,0.075,0.01,0.19390869140625,0.19390869140625,0.0,0.0,0.0
k2p00__base,2.0,base,0.1,0.0005,0.19390869140625,0.19390869140625,0.0,0.0,0.0
k2p00__base,2.0,base,0.1,0.001,0.19390869140625,0.19390869140625,0.0,0.0,0.0
k2p00__base,2.0,base,0.1,0.0025,0.23004150390625,0.19390869140625,0.0361328125,0.0361328125,0.0361328125
k2p00__base,2.0,base,0.1,0.005,0.23004150390625,0.19390869140625,0.0361328125,0.0361328125,0.0361328125
k2p00__base,2.0,base,0.1,0.01,0.23004150390625,0.19390869140625,0.0361328125,0.0361328125,0.0361328125
k2p00__base,2.0,base,0.125,0.0005,0.2705078125,0.19390869140625,0.07659912109375,0.0,0.0
k2p00__base,2.0,base,0.125,0.001,0.2705078125,0.19390869140625,0.07659912109375,0.0,0.0
