scenario_id,density_cap,response_profile,rho,tau,stage1_benchmark,objective_bound,stage2_service_lower,stage2_service_upper,stage2_objective,realized_sacrifice,realized_sacrifice_percent,selected_y_json,selected_z_json,selected_w_json,admissible_policy_count,service_tie_count,bisection_steps,bisection_resolution,maximum_oracle_gap
k2p00__base,2.0,base,0.0,0.0,1070.808480778403,1070.808490778403,0.19390869140625,0.1939697265625,1070.808480778403,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]",1,1,14,0.0001,6.821210263296962e-13
k2p00__base,2.0,base,0.0,0.001,1070.808480778403,1071.8792892591814,0.19390869140625,0.1939697265625,1070.808480778403,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]",1,1,14,0.0001,6.821210263296962e-13
k2p00__base,2.0,base,0.0,0.005,1070.808480778403,1076.162523182295,0.19390869140625,0.1939697265625,1070.808480778403,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]",5,5,14,0.0001,9.094947017729282e-13
k2p00__base,2.0,base,0.1,0.0,1159.7102992138502,1159.7103092138502,0.19390869140625,0.1939697265625,1159.7102992138502,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223975,0.0,96.9820256776026]",1,1,14,0.0001,9.094947017729282e-13
k2p00__base,2.0,base,0.1,0.001,1159.7102992138502,1160.870009513064,0.19390869140625,0.1939697265625,1159.7102992138502,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223975,0.0,96.9820256776026]",1,1,14,0.0001,9.094947017729282e-13
k2p00__base,2.0,base,0.1,0.005,1159.7102992138502,1165.5088507099194,0.23004150390625,0.2301025390625,1161.706179519288,1.9958803054378222,0.17210162803510487,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,451.4462694508458,84.90170487155086,96.98202567760342]",5,1,14,0.0001,1.1368683772161603e-12
k2p00__base,2.0,base,0.125,0.0,1174.5742489002841,1174.5742589002841,0.2705078125,0.27056884765625,1174.5742489002841,0.0,0.0,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,348.0289218062954,188.3190525161009,96.98202567760376]",1,1,14,0.0001,9.094947017729282e-13
k2p00__base,2.0,base,0.125,0.001,1174.5742489002841,1175.7488231491843,0.2705078125,0.27056884765625,1174.5742489002841,0.0,0.0,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,348.0289218062954,188.3190525161009,96.98202567760376]",2,1,14,0.0001,9.094947017729282e-13
k2p00__base,2.0,base,0.125,0.005,1174.5742489002841,1180.4471201447855,0.2705078125,0.27056884765625,1174.5742489002841,0.0,0.0,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,348.0289218062954,188.3190525161009,96.98202567760376]",5,1,14,0.0001,9.094947017729282e-13
k2p00__base,2.0,base,0.25,0.0,1222.787875223676,1222.787885223676,0.28155517578125,0.2816162109375,1222.787875223676,0.0,0.0,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,274.45833339350605,261.88964092889086,96.98202567760313]",1,1,14,0.0001,0.0
k2p00__base,2.0,base,0.25,0.001,1222.787875223676,1224.0106630988996,0.28155517578125,0.2816162109375,1222.787875223676,0.0,0.0,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,274.45833339350605,261.88964092889086,96.98202567760313]",1,1,14,0.0001,0.0
k2p00__base,2.0,base,0.25,0.005,1222.787875223676,1228.9018145997943,0.28155517578125,0.2816162109375,1222.787875223676,0.0,0.0,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,274.45833339350605,261.88964092889086,96.98202567760313]",5,5,14,0.0001,1.1368683772161603e-12
