center_id,center_name,zone_id,zone_name,path_node_json,path_link_json,corridor_id,on_intact_shortest_path,intact_path_minutes,local_transfer_minutes,corridor_failure_penalty_minutes
center_17201,Kanazawa,zone_17202,Nanao,"[""17201"",""17202""]","[""corr_kanazawa_nanao""]",corr_anamizu_noto,False,55.0,10.0,0.0
center_17201,Kanazawa,zone_17202,Nanao,"[""17201"",""17202""]","[""corr_kanazawa_nanao""]",corr_anamizu_suzu,False,55.0,10.0,0.0
center_17201,Kanazawa,zone_17202,Nanao,"[""17201"",""17202""]","[""corr_kanazawa_nanao""]",corr_anamizu_wajima,False,55.0,10.0,0.0
center_17201,Kanazawa,zone_17202,Nanao,"[""17201"",""17202""]","[""corr_kanazawa_nanao""]",corr_kanazawa_nanao,True,55.0,10.0,5.0
center_17201,Kanazawa,zone_17202,Nanao,"[""17201"",""17202""]","[""corr_kanazawa_nanao""]",corr_nanao_anamizu,False,55.0,10.0,0.0
center_17201,Kanazawa,zone_17204,Wajima,"[""17201"",""17202"",""17461"",""17204""]","[""corr_kanazawa_nanao"",""corr_nanao_anamizu"",""corr_anamizu_wajima""]",corr_anamizu_noto,False,115.0,10.0,0.0
center_17201,Kanazawa,zone_17204,Wajima,"[""17201"",""17202"",""17461"",""17204""]","[""corr_kanazawa_nanao"",""corr_nanao_anamizu"",""corr_anamizu_wajima""]",corr_anamizu_suzu,False,115.0,10.0,0.0
center_17201,Kanazawa,zone_17204,Wajima,"[""17201"",""17202"",""17461"",""17204""]","[""corr_kanazawa_nanao"",""corr_nanao_anamizu"",""corr_anamizu_wajima""]",corr_anamizu_wajima,True,115.0,10.0,50.0
center_17201,Kanazawa,zone_17204,Wajima,"[""17201"",""17202"",""17461"",""17204""]","[""corr_kanazawa_nanao"",""corr_nanao_anamizu"",""corr_anamizu_wajima""]",corr_kanazawa_nanao,True,115.0,10.0,5.0
center_17201,Kanazawa,zone_17204,Wajima,"[""17201"",""17202"",""17461"",""17204""]","[""corr_kanazawa_nanao"",""corr_nanao_anamizu"",""corr_anamizu_wajima""]",corr_nanao_anamizu,True,115.0,10.0,70.0
center_17201,Kanazawa,zone_17205,Suzu,"[""17201"",""17202"",""17461"",""17205""]","[""corr_kanazawa_nanao"",""corr_nanao_anamizu"",""corr_anamizu_suzu""]",corr_anamizu_noto,False,135.0,10.0,0.0
center_17201,Kanazawa,zone_17205,Suzu,"[""17201"",""17202"",""17461"",""17205""]","[""corr_kanazawa_nanao"",""corr_nanao_anamizu"",""corr_anamizu_suzu""]",corr_anamizu_suzu,True,135.0,10.0,40.0
center_17201,Kanazawa,zone_17205,Suzu,"[""17201"",""17202"",""17461"",""17205""]","[""corr_kanazawa_nanao"",""corr_nanao_anamizu"",""corr_anamizu_suzu""]",corr_anamizu_wajima,False,135.0,10.0,0.0
center_17201,Kanazawa,zone_17205,Suzu,"[""17201"",""17202"",""17461"",""17205""]","[""corr_kanazawa_nanao"",""corr_nanao_anamizu"",""corr_anamizu_suzu""]",corr_kanazawa_nanao,True,135.0,10.0,5.0
center_17201,Kanazawa,zone_17205,Suzu,"[""17201"",""17202"",""17461"",""17205""]","[""corr_kanazawa_nanao"",""corr_nanao_anamizu"",""corr_anamizu_suzu""]",corr_nanao_anamizu,True,135.0,10.0,70.0
center_17201,Kanazawa,zone_17461,Anamizu,"[""17201"",""17202"",""17461""]","[""corr_kanazawa_nanao"",""corr_nanao_anamizu""]",corr_anamizu_noto,False,85.0,10.0,0.0
center_17201,Kanazawa,zone_17461,Anamizu,"[""17201"",""17202"",""17461""]","[""corr_kanazawa_nanao"",""corr_nanao_anamizu""]",corr_anamizu_suzu,False,85.0,10.0,0.0
center_17201,Kanazawa,zone_17461,Anamizu,"[""17201"",""17202"",""17461""]","[""corr_kanazawa_nanao"",""corr_nanao_anamizu""]",corr_anamizu_wajima,False,85.0,10.0,0.0
center_17201,Kanazawa,zone_17461,Anamizu,"[""17201"",""17202"",""17461""]","[""corr_kanazawa_nanao"",""corr_nanao_anamizu""]",corr_kanazawa_nanao,True,85.0,10.0,5.0
center_17201,Kanazawa,zone_17461,Anamizu,"[""17201"",""17202"",""17461""]","[""corr_kanazawa_nanao"",""corr_nanao_anamizu""]",corr_nanao_anamizu,True,85.0,10.0,70.0
center_17201,Kanazawa,zone_17463,Noto,"[""17201"",""17202"",""17461"",""17463""]","[""corr_kanazawa_nanao"",""corr_nanao_anamizu"",""corr_anamizu_noto""]",corr_anamizu_noto,True,125.0,10.0,30.0
center_17201,Kanazawa,zone_17463,Noto,"[""17201"",""17202"",""17461"",""17463""]","[""corr_kanazawa_nanao"",""corr_nanao_anamizu"",""corr_anamizu_noto""]",corr_anamizu_suzu,False,125.0,10.0,0.0
center_17201,Kanazawa,zone_17463,Noto,"[""17201"",""17202"",""17461"",""17463""]","[""corr_kanazawa_nanao"",""corr_nanao_anamizu"",""corr_anamizu_noto""]",corr_anamizu_wajima,False,125.0,10.0,0.0
center_17201,Kanazawa,zone_17463,Noto,"[""17201"",""17202"",""17461"",""17463""]","[""corr_kanazawa_nanao"",""corr_nanao_anamizu"",""corr_anamizu_noto""]",corr_kanazawa_nanao,True,125.0,10.0,5.0
center_17201,Kanazawa,zone_17463,Noto,"[""17201"",""17202"",""17461"",""17463""]","[""corr_kanazawa_nanao"",""corr_nanao_anamizu"",""corr_anamizu_noto""]",corr_nanao_anamizu,True,125.0,10.0,70.0
center_17202,Nanao,zone_17202,Nanao,"[""17202""]",[],corr_anamizu_noto,False,10.0,10.0,0.0
center_17202,Nanao,zone_17202,Nanao,"[""17202""]",[],corr_anamizu_suzu,False,10.0,10.0,0.0
center_17202,Nanao,zone_17202,Nanao,"[""17202""]",[],corr_anamizu_wajima,False,10.0,10.0,0.0
center_17202,Nanao,zone_17202,Nanao,"[""17202""]",[],corr_kanazawa_nanao,False,10.0,10.0,0.0
center_17202,Nanao,zone_17202,Nanao,"[""17202""]",[],corr_nanao_anamizu,False,10.0,10.0,0.0
center_17202,Nanao,zone_17204,Wajima,"[""17202"",""17461"",""17204""]","[""corr_nanao_anamizu"",""corr_anamizu_wajima""]",corr_anamizu_noto,False,70.0,10.0,0.0
center_17202,Nanao,zone_17204,Wajima,"[""17202"",""17461"",""17204""]","[""corr_nanao_anamizu"",""corr_anamizu_wajima""]",corr_anamizu_suzu,False,70.0,10.0,0.0
center_17202,Nanao,zone_17204,Wajima,"[""17202"",""17461"",""17204""]","[""corr_nanao_anamizu"",""corr_anamizu_wajima""]",corr_anamizu_wajima,True,70.0,10.0,50.0
center_17202,Nanao,zone_17204,Wajima,"[""17202"",""17461"",""17204""]","[""corr_nanao_anamizu"",""corr_anamizu_wajima""]",corr_kanazawa_nanao,False,70.0,10.0,0.0
center_17202,Nanao,zone_17204,Wajima,"[""17202"",""17461"",""17204""]","[""corr_nanao_anamizu"",""corr_anamizu_wajima""]",corr_nanao_anamizu,True,70.0,10.0,70.0
center_17202,Nanao,zone_17205,Suzu,"[""17202"",""17461"",""17205""]","[""corr_nanao_anamizu"",""corr_anamizu_suzu""]",corr_anamizu_noto,False,90.0,10.0,0.0
center_17202,Nanao,zone_17205,Suzu,"[""17202"",""17461"",""17205""]","[""corr_nanao_anamizu"",""corr_anamizu_suzu""]",corr_anamizu_suzu,True,90.0,10.0,40.0
center_17202,Nanao,zone_17205,Suzu,"[""17202"",""17461"",""17205""]","[""corr_nanao_anamizu"",""corr_anamizu_suzu""]",corr_anamizu_wajima,False,90.0,10.0,0.0
center_17202,Nanao,zone_17205,Suzu,"[""17202"",""17461"",""17205""]","[""corr_nanao_anamizu"",""corr_anamizu_suzu""]",corr_kanazawa_nanao,False,90.0,10.0,0.0
center_17202,Nanao,zone_17205,Suzu,"[""17202"",""17461"",""17205""]","[""corr_nanao_anamizu"",""corr_anamizu_suzu""]",corr_nanao_anamizu,True,90.0,10.0,70.0
center_17202,Nanao,zone_17461,Anamizu,"[""17202"",""17461""]","[""corr_nanao_anamizu""]",corr_anamizu_noto,False,40.0,10.0,0.0
center_17202,Nanao,zone_17461,Anamizu,"[""17202"",""17461""]","[""corr_nanao_anamizu""]",corr_anamizu_suzu,False,40.0,10.0,0.0
center_17202,Nanao,zone_17461,Anamizu,"[""17202"",""17461""]","[""corr_nanao_anamizu""]",corr_anamizu_wajima,False,40.0,10.0,0.0
center_17202,Nanao,zone_17461,Anamizu,"[""17202"",""17461""]","[""corr_nanao_anamizu""]",corr_kanazawa_nanao,False,40.0,10.0,0.0
center_17202,Nanao,zone_17461,Anamizu,"[""17202"",""17461""]","[""corr_nanao_anamizu""]",corr_nanao_anamizu,True,40.0,10.0,70.0
center_17202,Nanao,zone_17463,Noto,"[""17202"",""17461"",""17463""]","[""corr_nanao_anamizu"",""corr_anamizu_noto""]",corr_anamizu_noto,True,80.0,10.0,30.0
center_17202,Nanao,zone_17463,Noto,"[""17202"",""17461"",""17463""]","[""corr_nanao_anamizu"",""corr_anamizu_noto""]",corr_anamizu_suzu,False,80.0,10.0,0.0
center_17202,Nanao,zone_17463,Noto,"[""17202"",""17461"",""17463""]","[""corr_nanao_anamizu"",""corr_anamizu_noto""]",corr_anamizu_wajima,False,80.0,10.0,0.0
center_17202,Nanao,zone_17463,Noto,"[""17202"",""17461"",""17463""]","[""corr_nanao_anamizu"",""corr_anamizu_noto""]",corr_kanazawa_nanao,False,80.0,10.0,0.0
center_17202,Nanao,zone_17463,Noto,"[""17202"",""17461"",""17463""]","[""corr_nanao_anamizu"",""corr_anamizu_noto""]",corr_nanao_anamizu,True,80.0,10.0,70.0
center_17204,Wajima,zone_17202,Nanao,"[""17204"",""17461"",""17202""]","[""corr_anamizu_wajima"",""corr_nanao_anamizu""]",corr_anamizu_noto,False,70.0,10.0,0.0
center_17204,Wajima,zone_17202,Nanao,"[""17204"",""17461"",""17202""]","[""corr_anamizu_wajima"",""corr_nanao_anamizu""]",corr_anamizu_suzu,False,70.0,10.0,0.0
center_17204,Wajima,zone_17202,Nanao,"[""17204"",""17461"",""17202""]","[""corr_anamizu_wajima"",""corr_nanao_anamizu""]",corr_anamizu_wajima,True,70.0,10.0,50.0
center_17204,Wajima,zone_17202,Nanao,"[""17204"",""17461"",""17202""]","[""corr_anamizu_wajima"",""corr_nanao_anamizu""]",corr_kanazawa_nanao,False,70.0,10.0,0.0
