plan,rho,state_id,max_absolute_error
no_retrofit,0.0,central__fail__corr_anamizu_noto,0.0
no_retrofit,0.0,central__fail__corr_anamizu_noto__corr_anamizu_suzu,0.0
no_retrofit,0.0,central__fail__corr_anamizu_suzu,0.0
no_retrofit,0.0,central__fail__corr_anamizu_wajima,0.0
no_retrofit,0.0,central__fail__corr_anamizu_wajima__corr_anamizu_noto,0.0
no_retrofit,0.0,central__fail__corr_anamizu_wajima__corr_anamizu_noto__corr_anamizu_suzu,0.0
no_retrofit,0.0,central__fail__corr_anamizu_wajima__corr_anamizu_suzu,0.0
no_retrofit,0.0,central__fail__corr_kanazawa_nanao,0.0
no_retrofit,0.0,central__fail__corr_kanazawa_nanao__corr_anamizu_noto,0.0
no_retrofit,0.0,central__fail__corr_kanazawa_nanao__corr_anamizu_noto__corr_anamizu_suzu,0.0
no_retrofit,0.0,central__fail__corr_kanazawa_nanao__corr_anamizu_suzu,0.0
no_retrofit,0.0,central__fail__corr_kanazawa_nanao__corr_anamizu_wajima,0.0
no_retrofit,0.0,central__fail__corr_kanazawa_nanao__corr_anamizu_wajima__corr_anamizu_noto,0.0
no_retrofit,0.0,central__fail__corr_kanazawa_nanao__corr_anamizu_wajima__corr_anamizu_noto__corr_anamizu_suzu,0.0
no_retrofit,0.0,central__fail__corr_kanazawa_nanao__corr_anamizu_wajima__corr_anamizu_suzu,0.0
no_retrofit,0.0,central__fail__corr_kanazawa_nanao__corr_nanao_anamizu,0.0
no_retrofit,0.0,central__fail__corr_kanazawa_nanao__corr_nanao_anamizu__corr_anamizu_noto,0.0
no_retrofit,0.0,central__fail__corr_kanazawa_nanao__corr_nanao_anamizu__corr_anamizu_noto__corr_anamizu_suzu,0.0
no_retrofit,0.0,central__fail__corr_kanazawa_nanao__corr_nanao_anamizu__corr_anamizu_suzu,0.0
no_retrofit,0.0,central__fail__corr_kanazawa_nanao__corr_nanao_anamizu__corr_anamizu_wajima,0.0
no_retrofit,0.0,central__fail__corr_kanazawa_nanao__corr_nanao_anamizu__corr_anamizu_wajima__corr_anamizu_noto,0.0
no_retrofit,0.0,central__fail__corr_kanazawa_nanao__corr_nanao_anamizu__corr_anamizu_wajima__corr_anamizu_noto__corr_anamizu_suzu,0.0
no_retrofit,0.0,central__fail__corr_kanazawa_nanao__corr_nanao_anamizu__corr_anamizu_wajima__corr_anamizu_suzu,0.0
no_retrofit,0.0,central__fail__corr_nanao_anamizu,0.0
no_retrofit,0.0,central__fail__corr_nanao_anamizu__corr_anamizu_noto,0.0
no_retrofit,0.0,central__fail__corr_nanao_anamizu__corr_anamizu_noto__corr_anamizu_suzu,0.0
no_retrofit,0.0,central__fail__corr_nanao_anamizu__corr_anamizu_suzu,0.0
no_retrofit,0.0,central__fail__corr_nanao_anamizu__corr_anamizu_wajima,0.0
no_retrofit,0.0,central__fail__corr_nanao_anamizu__corr_anamizu_wajima__corr_anamizu_noto,0.0
no_retrofit,0.0,central__fail__corr_nanao_anamizu__corr_anamizu_wajima__corr_anamizu_noto__corr_anamizu_suzu,0.0
no_retrofit,0.0,central__fail__corr_nanao_anamizu__corr_anamizu_wajima__corr_anamizu_suzu,0.0
no_retrofit,0.0,central__intact,0.0
no_retrofit,0.0,normal__fail__corr_anamizu_noto,0.0
no_retrofit,0.0,normal__fail__corr_anamizu_noto__corr_anamizu_suzu,0.0
no_retrofit,0.0,normal__fail__corr_anamizu_suzu,0.0
no_retrofit,0.0,normal__fail__corr_anamizu_wajima,0.0
no_retrofit,0.0,normal__fail__corr_anamizu_wajima__corr_anamizu_noto,0.0
no_retrofit,0.0,normal__fail__corr_anamizu_wajima__corr_anamizu_noto__corr_anamizu_suzu,0.0
no_retrofit,0.0,normal__fail__corr_anamizu_wajima__corr_anamizu_suzu,0.0
no_retrofit,0.0,normal__fail__corr_kanazawa_nanao,0.0
no_retrofit,0.0,normal__fail__corr_kanazawa_nanao__corr_anamizu_noto,0.0
no_retrofit,0.0,normal__fail__corr_kanazawa_nanao__corr_anamizu_noto__corr_anamizu_suzu,0.0
no_retrofit,0.0,normal__fail__corr_kanazawa_nanao__corr_anamizu_suzu,0.0
no_retrofit,0.0,normal__fail__corr_kanazawa_nanao__corr_anamizu_wajima,0.0
no_retrofit,0.0,normal__fail__corr_kanazawa_nanao__corr_anamizu_wajima__corr_anamizu_noto,0.0
no_retrofit,0.0,normal__fail__corr_kanazawa_nanao__corr_anamizu_wajima__corr_anamizu_noto__corr_anamizu_suzu,0.0
no_retrofit,0.0,normal__fail__corr_kanazawa_nanao__corr_anamizu_wajima__corr_anamizu_suzu,0.0
no_retrofit,0.0,normal__fail__corr_kanazawa_nanao__corr_nanao_anamizu,0.0
no_retrofit,0.0,normal__fail__corr_kanazawa_nanao__corr_nanao_anamizu__corr_anamizu_noto,0.0
